created_p1,ip_address,time_sec_p1,mc_car_make_1,zip_code,created_p2,time_sec_p2,current_car_purchase,current_car_status,current_car_price,monthlypayment,gas_mileage,weeklyTravel,fuel_type,parking,neighbor_info,household_vehicle,ride_friend__carpool,walk_bicycle_scooter,taxi__uber,public_transit,buying_timing,future_vehicle_type,future_car_condition,future_car_finance,future_car_price,future_downpayment,future_car_category,respondentID,created_p3,time_sec_p3,created_p4,time_sec_p4,run_on_gas,plugged_in,electric_vehicle_Y_N,name_electric_vehicle,max_subsidy,created_p5,time_sec_p5,feedback,yearOfBirth,gender,hispanic,ethnicity,people,employment_status,income,education,housing,own_rent,electric_bill,political_views,party,age,total_time_min
2024-07-03T09:38:31Z,166.196.107.74,139,cadillac,24301,2024-07-03T04:40:51Z,233,Used car from a dealer,No,"$20,000 - $24,999",$600 - $700,10 - 20 mpg,twice a week,Gasoline,"Driveway/ Carport, Single-family garage",No,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,Within 1 year,Large Sedan,Both,Purchase,"$20,000 - $24,999, $60,000 - $69,999","$1,000 - $2,000",Definitely not,1762,2024-07-03T04:45:48Z,211,2024-07-03T04:44:44Z,64,"1, 2","1, 2, 3",Yes,George Marshall,5,2024-07-03T04:49:20Z,132,No,1972,Male,No,Black or African American,More than 5,"Disabled, not able to work.","$15,000 to less than $30,000",High school degree or equivalent (e.g. GED),Building with 20 or more apartments/condos/studios,2,$300 - $400,2,republican,52,12.983333333333333
2024-07-03T12:00:26Z,73.140.149.107,71,other,98023,2024-07-03T07:01:38Z,169,New,No,"$20,000 - $24,999",Paid all cash/ No loan,not applicable,once a month,"Gasoline, Electric",Driveway/ Carport,Yes,Once a day or more,About once a week,2-3 times a week,Less than once a month or never,About once a month,6-9 years into the future,Do not know,Used,Purchase,"$15,000 - $19,999",I'm not sure,Probably Yes,4264,2024-07-03T07:05:10Z,146,2024-07-03T07:04:27Z,43,"1, 2","2, 3",Yes,Chevy Bolt,6,2024-07-03T07:07:36Z,161,Need to ask pros and cons of gas and electric vehicles.,1953,Male,No,White,2,Retired.,"$100,000 to less than $125,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,1,$200 - $300,4,democratic,71,9.833333333333334
2024-07-03T16:26:27Z,199.184.122.5,33,hyundai,61704,2024-07-03T11:27:00Z,135,New,No,"$20,000 - $24,999",$300 - $400,40 - 50 mpg,once a week,"Gasoline, Hybrid",Single-family garage,Yes,4-5 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,3-5 years into the future,Compact SUV,New,Purchase,"$35,000 - $39,999","$9,000 - $10,000",Definitely not,2165,2024-07-03T11:29:48Z,124.00000000000001,2024-07-03T11:29:15Z,33,"1, 2","2, 3",Yes,Tesla,4,2024-07-03T11:31:52Z,61,NA,1967,Male,No,White,2,"Employed, working 40 or more hours per week.","$75,000 to less than $100,000",Some college - but less than two years of college,Single family house not attached to any other house,1,$100 - $200,2,republican,57,6.433333333333334
2024-07-03T17:44:02Z,76.209.102.38,66,dodge,30141,2024-07-03T12:45:09Z,181,New,No,"$25,000 - $29,999",$200 - $300,30 - 40 mpg,once in 2 weeks,Gasoline,"Driveway/ Carport, Single-family garage",I'm not sure,2-3 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,I'm not sure,"Large Sedan, Sports Car",Used,Purchase,"$25,000 - $29,999","$4,000 - $5,000",Probably not,3790,2024-07-03T12:49:02Z,143,2024-07-03T12:48:10Z,52,"1, 2","2, 3",Yes,Tesla Model 3,4,2024-07-03T12:51:25Z,87,NA,1957,Male,No,White,3,Retired.,"$75,000 to less than $100,000",Some college - two years or more/A.A. degree,Single family house not attached to any other house,1,$100 - $200,2,republican,67,8.816666666666666
2024-07-03T18:16:33Z,166.194.200.10,55,ford,71822,2024-07-03T13:17:28Z,141,New,No,"$35,000 - $39,999",Paid all cash/ No loan,20 - 30 mpg,once a week,Gasoline,Driveway/ Carport,No,4-5 times a week,Less than once a month or never,2-3 times a week,Less than once a month or never,Less than once a month or never,3-5 years into the future,Pick-up truck,New,Purchase,"$35,000 - $39,999","$20,000 or more",Probably not,4575,2024-07-03T13:20:35Z,178,2024-07-03T13:19:49Z,46,1,"2, 3",Yes,Tesla,6,2024-07-03T13:23:33Z,109,NA,1971,Male,No,White,1,"Employed, working 40 or more hours per week.",Prefer not to answer,Some college - two years or more/A.A. degree,Single family house not attached to any other house,4,$0 - $100,7,independent,53,8.816666666666666
2024-07-03T21:43:15Z,73.167.138.212,62,honda,05735,2024-07-03T16:44:17Z,172,Used car from a dealer,No,"$25,000 - $29,999",$200 - $300,20 - 30 mpg,once a month,Gasoline,Single-family garage,No,2-3 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,1-2 years into the future,Compact SUV,Used,Purchase,"$25,000 - $29,999",$19000 - $20000,Definitely not,3102,2024-07-03T16:49:03Z,204,2024-07-03T16:47:10Z,113,"1, 2","2, 3",Yes,Garbage car,4,2024-07-03T16:52:27Z,240,I will NEVER consider buying an electric car! Too many horror stories. Relative bought Mustang electric. I month traded it for a real CAR,1953,Male,No,White,2,Retired.,"$50,000 to less than $60,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,1,$100 - $200,1,republican,71,13.183333333333334
2024-07-04T00:12:24Z,73.120.127.166,45,chrysler,37641,2024-07-03T19:13:09Z,132,Used car from a dealer,No,"$5,000 - $9999",$100 - $200,20 - 30 mpg,once a month,Gasoline,Driveway/ Carport,No,About once a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,10+ years into the future,"Small Sedan, Large Sedan",Used,Purchase,"$5,000 - $9999","$0 - $1,000",Maybe/ Not sure,715,2024-07-03T19:16:00Z,109,2024-07-03T19:15:21Z,39,"1, 2","2, 3",Yes,tesla,6,2024-07-03T19:17:49Z,96,I like cheese,1968,Male,No,White,2,"Disabled, not able to work.","$15,000 to less than $30,000",Some college - two years or more/A.A. degree,Single family house not attached to any other house,1,$100 - $200,4,democratic,56,7.016666666666667
2024-07-04T00:31:20Z,99.56.212.229,60,ram,49505,2024-07-03T19:32:20Z,135,Used car informally,No,"$4,999 or less",Paid all cash/ No loan,10 - 20 mpg,once a month,Gasoline,Shared parking lot,No,About once a week,Less than once a month or never,2-3 times a week,Less than once a month or never,About once a month,3-5 years into the future,Pick-up truck,Used,Purchase,"$4,999 or less, $5,000 - $9999",I'm not sure,Definitely not,2907,2024-07-03T19:35:12Z,136,2024-07-03T19:34:35Z,37,"1, 2","2, 3",No,NA,6,2024-07-03T19:37:28Z,99,Libertarian Party,1967,Male,No,White,3,"Disabled, not able to work.","Less than $15,000",College graduate/bachelor's degree/B.A./B.S.,Building with 2-4 apartments/condos/studios,2,$200 - $300,7,independent,57,7.783333333333333
2024-07-04T00:45:55Z,172.59.222.97,58,chevrolet,75248,2024-07-03T19:46:53Z,190,Used car from a dealer,No,"$15,000 - $19,999",Paid all cash/ No loan,30 - 40 mpg,once in 2 weeks,Gasoline,Shared parking lot,Yes,Once a day or more,About once a month,Less than once a month or never,Less than once a month or never,Less than once a month or never,6-9 years into the future,"Large Sedan, Sports Car, Compact SUV, Pick-up truck",Both,Purchase,"$15,000 - $19,999, $20,000 - $24,999, $25,000 - $29,999, $30,000 - $34,999, $35,000 - $39,999, $40,000 - $44,999, $45,000 - $49,999",I'm not sure,Definitely Yes,2195,2024-07-03T19:50:56Z,168,2024-07-03T19:50:04Z,51,"1, 2","2, 3",Yes,Chevrolet Bolt,4,2024-07-03T19:53:44Z,132,"The phrasing on ""name a pure electric vehicle"" was a little vague to me. Almost wrote ""BEV"" as the designation I've heard the vehicle category called in the past.",2000,Male,No,White,1,"Employed, working 40 or more hours per week.","$75,000 to less than $100,000",College graduate/bachelor's degree/B.A./B.S.,Building with 20 or more apartments/condos/studios,2,$0 - $100,3,independent,24,9.983333333333333
2024-07-04T01:10:41Z,174.209.98.17,77,ford,31038,2024-07-03T20:11:58Z,165,New,No,"$20,000 - $24,999",Paid all cash/ No loan,0 - 10 mpg,once a month,Gasoline,Driveway/ Carport,No,About once a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,10+ years into the future,Pick-up truck,Used,Purchase,"$50,000 - $59,999","$20,000 or more",Definitely not,592,2024-07-03T20:15:24Z,156,2024-07-03T20:14:43Z,41,"1, 2","2, 3",Yes,Tesla,6,2024-07-03T20:18:00Z,94,NA,1969,Male,No,White,2,"Employed, working 40 or more hours per week.","$150,000 to less than $175,000",Some college - two years or more/A.A. degree,Single family house not attached to any other house,1,$100 - $200,1,independent,55,8.883333333333333
2024-07-04T01:17:24Z,199.48.0.15,46,buick,71603,2024-07-03T20:18:10Z,106,Used car from a dealer,No,"$10,000 - $14,999",Paid all cash/ No loan,20 - 30 mpg,once a week,"Gasoline, Other:",Driveway/ Carport,No,4-5 times a week,About once a week,About once a month,Less than once a month or never,Less than once a month or never,I'm not sure,"Large SUV, Pick-up truck",Both,Purchase,"$40,000 - $44,999",I'm not sure,Definitely not,4157,2024-07-03T20:20:29Z,91,2024-07-03T20:19:56Z,33,"1, 2","2, 3",Yes,Tesla,6,2024-07-03T20:22:01Z,55,NA,1975,Male,No,White,5,"Employed, working 40 or more hours per week.","$75,000 to less than $100,000",Technical or trade school,Single family house not attached to any other house,1,$200 - $300,1,republican,49,5.516666666666667
2024-07-04T02:15:04Z,172.226.176.47,43,volvo,78681,2024-07-03T21:15:47Z,161,Used car from a dealer,No,"$20,000 - $24,999",Paid all cash/ No loan,30 - 40 mpg,once in 2 weeks,Gasoline,Driveway/ Carport,Yes,4-5 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,Within 1 year,Compact SUV,Both,Purchase,"$35,000 - $39,999, $40,000 - $44,999, $45,000 - $49,999, $50,000 - $59,999","$20,000 or more",Probably Yes,3310,2024-07-03T21:19:11Z,135,2024-07-03T21:18:28Z,43,"1, 2","2, 3",Yes,Tesla,4,2024-07-03T21:21:26Z,79,NA,1982,Male,No,White,4,"Employed, working 40 or more hours per week.","$150,000 to less than $175,000",Some college - two years or more/A.A. degree,Single family house not attached to any other house,1,$100 - $200,5,democratic,42,7.683333333333334
2024-07-04T02:50:38Z,99.16.245.107,68,hyundai,60073,2024-07-03T21:51:46Z,142,New,No,"$15,000 - $19,999",$200 - $300,20 - 30 mpg,once a month,Gasoline,Driveway/ Carport,No,2-3 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,10+ years into the future,Do not know,New,Purchase,I'm not sure,I'm not sure,Definitely not,1851,2024-07-03T21:54:49Z,126,2024-07-03T21:54:08Z,41,"1, 2","1, 2, 3",Yes,Tesla,6,2024-07-03T21:56:55Z,85,NA,1960,Male,No,White,2,Retired.,Prefer not to answer,Some college - but less than two years of college,Single family house not attached to any other house,1,$0 - $100,2,independent,64,7.7
2024-07-04T07:22:59Z,73.127.143.226,126,bmw,87501,2024-07-04T02:25:07Z,202,Used car from a dealer,No,"$50,000 - $59,999",$700 - $800,30 - 40 mpg,once in 2 weeks,Gasoline,"Driveway/ Carport, Single-family garage",No,Once a day or more,Less than once a month or never,About once a week,Less than once a month or never,Less than once a month or never,6-9 years into the future,"Sports Car, Compact SUV, Pick-up truck",Used,Purchase,"$80,000 - $89,999","$0 - $1,000",Definitely not,1833,2024-07-04T02:29:34Z,253,2024-07-04T02:28:29Z,65,"1, 2","2, 3",Yes,Tesla,2,2024-07-04T02:33:48Z,169,NA,1971,Male,No,White,2,"Employed, working 40 or more hours per week.","$150,000 to less than $175,000",Technical or trade school,Single family house not attached to any other house,1,$300 - $400,3,republican,53,13.583333333333334
2024-07-04T08:35:04Z,166.196.86.65,107,chevrolet,45015,2024-07-04T03:36:52Z,207,Used car informally,No,"$4,999 or less",Paid all cash/ No loan,10 - 20 mpg,once a week,Gasoline,"Street Parking, Driveway/ Carport",I'm not sure,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,I'm not sure,Pick-up truck,I'm not sure,Purchase,"$4,999 or less","$0 - $1,000",Probably not,2801,2024-07-04T03:41:20Z,663,2024-07-04T03:40:19Z,61,"1, 2","2, 3",Yes,Tesla,6,2024-07-04T03:52:23Z,350,"Vehicles are too complicated 
Since we're unsafe at any SPEED why worry about all the electronic gizmos that goast brake and lead to a false sence of Safety. 
There's nothing free fair or safe. 
",1973,Male,No,White,1,"Employed, working 40 or more hours per week.","$75,000 to less than $100,000",Some college - but less than two years of college,"Single family house attached to one or more houses (townhouse, rowhome, condo, duplex, triplex, etc.)",2,$0 - $100,1,republican,51,23.133333333333333
2024-07-04T09:12:22Z,77.234.44.180,52,subaru,16371,2024-07-04T04:13:14Z,137,Used car from a dealer,No,"$5,000 - $9999",Paid all cash/ No loan,20 - 30 mpg,once a week,Gasoline,"Street Parking, Driveway/ Carport",No,4-5 times a week,Less than once a month or never,About once a week,Less than once a month or never,Less than once a month or never,1-2 years into the future,Large SUV,I'm not sure,Purchase,"$10,000 - $14,999","$2,000 - $3,000",Definitely not,674,2024-07-04T04:16:23Z,125.00000000000001,2024-07-04T04:15:31Z,52,2,2,Yes,Rivian,6,2024-07-04T04:18:28Z,116,The government shouldn't have killed off the dude that invented an engine that operated on WATER,1991,Male,No,White,More than 5,"Employed, working 40 or more hours per week.","$60,000 to less than $75,000",High school degree or equivalent (e.g. GED),"Single family house attached to one or more houses (townhouse, rowhome, condo, duplex, triplex, etc.)",2,$100 - $200,7,prefer_not_say,33,8.033333333333333
2024-07-04T09:34:14Z,71.88.161.151,61,nissan,38201,2024-07-04T04:35:16Z,185,New,No,"$40,000 - $44,999",$700 - $800,20 - 30 mpg,once a week,Gasoline,"Driveway/ Carport, Single-family garage",Yes,Once a day or more,Less than once a month or never,About once a week,Less than once a month or never,Less than once a month or never,3-5 years into the future,Pick-up truck,New,Purchase,"$60,000 - $69,999","$5,000 - $6,000",Probably Yes,2832,2024-07-04T04:39:14Z,210,2024-07-04T04:38:21Z,52,"1, 2","2, 3",Yes,Tesla,4,2024-07-04T04:42:45Z,84,NA,1962,Male,No,White,2,"Employed, working 40 or more hours per week.","$75,000 to less than $100,000",Some college - two years or more/A.A. degree,Single family house not attached to any other house,1,$100 - $200,5,democratic,62,9.866666666666667
2024-07-04T18:51:43Z,208.107.25.223,63,volvo,55025,2024-07-04T13:52:46Z,115,Used car informally,No,"$5,000 - $9999",Paid all cash/ No loan,20 - 30 mpg,once a week,Gasoline,"Driveway/ Carport, Single-family garage",Yes,Once a day or more,About once a month,2-3 times a week,Less than once a month or never,Less than once a month or never,3-5 years into the future,"Large SUV, Van, Pick-up truck, Do not know",Used,Purchase,"$4,999 or less, $5,000 - $9999, $10,000 - $14,999, $15,000 - $19,999",I'm not sure,Maybe/ Not sure,1525,2024-07-04T13:55:14Z,160,2024-07-04T13:54:41Z,33,"1, 2","2, 3",Yes,VW atlas,4,2024-07-04T13:57:54Z,73,NA,2003,Female,No,White,2,"Employed, working 40 or more hours per week.","$60,000 to less than $75,000",High school degree or equivalent (e.g. GED),Building with 5-19 apartments/condos/studios,2,$100 - $200,7,democratic,21,7.4
2024-07-04T20:54:56Z,47.42.236.125,55,jeep,37922,2024-07-04T15:55:51Z,185,Used car from a dealer,No,"$35,000 - $39,999",$300 - $400,20 - 30 mpg,once a week,Gasoline,Single-family garage,No,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,1-2 years into the future,Large SUV,Used,Purchase,"$35,000 - $39,999","$20,000 or more",Definitely not,526,2024-07-04T16:00:06Z,171,2024-07-04T15:58:56Z,70,"1, 2","2, 3",Yes,Porsche,4,2024-07-04T16:02:57Z,255,Public transportation is expensive and uncomfortable.  EVs are poor replacements for ICEs due to range and charging limitations.  EV makers would be way ahead to focus on range management rather than acceleration.   And I own a sports car.,1957,Male,No,White,2,Retired.,"$100,000 to less than $125,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,1,$100 - $200,2,republican,67,12.266666666666667
2024-07-04T21:27:05Z,107.201.186.126,48,hyundai,46060,2024-07-04T16:27:53Z,106,Used car from a dealer,No,"$15,000 - $19,999",$300 - $400,20 - 30 mpg,once a week,Gasoline,Single-family garage,Yes,4-5 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,Within 1 year,Sports Car,Used,Purchase,"$10,000 - $14,999","$3,000 - $4,000",Definitely not,4674,2024-07-04T16:30:15Z,115,2024-07-04T16:29:39Z,36,"1, 2","2, 3",Yes,Tesla,6,2024-07-04T16:32:10Z,60,NA,1962,Male,No,White,3,"Employed, working 1-39 hours per week.","$150,000 to less than $175,000",Some college - but less than two years of college,Single family house not attached to any other house,2,$100 - $200,3,democratic,62,6.083333333333333
2024-07-04T23:26:25Z,24.4.157.70,134,audi,94533,2024-07-04T18:28:39Z,175,Used car from a dealer,No,"$50,000 - $59,999",$900 - $1000,20 - 30 mpg,once a week,Gasoline,Driveway/ Carport,Yes,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,1-2 years into the future,Do not know,Both,I'm not sure,"$45,000 - $49,999",I'm not sure,Probably Yes,873,2024-07-04T18:32:31Z,326,2024-07-04T18:31:34Z,57,"1, 2","1, 2, 3",Yes,Tesla,6,2024-07-04T18:37:57Z,147,NA,1965,Female,No,White,2,"Not employed, NOT looking for work.","$175,000 to less than $200,000",Some college - but less than two years of college,Single family house not attached to any other house,1,$0 - $100,4,democratic,59,13.983333333333333
2024-07-04T23:47:11Z,66.36.121.15,67,dodge,81223,2024-07-04T18:48:19Z,147,New,No,"$30,000 - $34,999",Paid all cash/ No loan,20 - 30 mpg,once in 2 weeks,Gasoline,Single-family garage,No,2-3 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,3-5 years into the future,"Large SUV, Van",New,Purchase,"$40,000 - $44,999","$20,000 or more",Maybe/ Not sure,1938,2024-07-04T18:51:34Z,159,2024-07-04T18:50:47Z,47,"1, 2","2, 3",Yes,Rivian,4,2024-07-04T18:54:13Z,94,NA,1959,Male,No,"Asian, White",2,Retired.,"$125,000 to less than $150,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,1,$300 - $400,3,independent,65,8.566666666666666
2024-07-05T01:01:28Z,38.40.10.151,94,chevrolet,30248,2024-07-04T20:03:02Z,6980,Used car informally,No,"$10,000 - $14,999",Paid all cash/ No loan,20 - 30 mpg,once a week,Gasoline,"Driveway/ Carport, Single-family garage",No,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,3-5 years into the future,"Compact SUV, Large SUV",Both,Purchase,"$20,000 - $24,999",I'm not sure,Definitely not,3498,2024-07-04T22:00:51Z,285,2024-07-04T21:59:22Z,89,1,"2, 3",Yes,"Tesla, Rivian",6,2024-07-04T22:05:36Z,133,NA,1962,Male,No,White,3,"Employed, working 40 or more hours per week.","$175,000 to less than $200,000",Some college - but less than two years of college,Single family house not attached to any other house,1,$300 - $400,5,democratic,62,126.35
