"session","created","modified","ended","expired","time1","current_car_purchase","current_car_status","current_car_price","monthlypayment","gas_mileage","weeklyTravel","fuel_type","parking","neighbor_info","time2","household_vehicle","ride_friend__carpool","walk_bicycle_scooter","taxi__uber","public_transit","time3","buying_timing","future_vehicle_type","future_car_condition","future_car_finance","future_car_price","future_downpayment","future_car_category","time4"
"0Q_Jnxe3_XbQ2TVry4Vt1j4v9x6E4eLZN3kN9x69iuqD4hTOdmsdmQsoLBZGecI7","2024-07-06 19:47:58","2024-07-06 19:51:31","2024-07-06 19:51:31","","2024-07-06 19:47:59","Used car from a dealer","No","$35,000 - $39,999","$500 - $600","10 - 20 mpg","once a month","Other:","Driveway/ Carport","I'm not sure","2024-07-06 19:49:33","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-06 19:50:20","I'm not sure","Pick-up truck","Both","Purchase","$50,000 - $59,999","$2,000 - $3,000","Definitely not","2024-07-06 19:51:31"
"fzrMgpJw83bsJ_3L32WD3Dyu9cjTXP1QHCtZ1RrZkfwOBC7M6OIVxuI4zl7hEAXX","2024-07-06 19:52:01","2024-07-06 19:55:01","2024-07-06 19:55:02","","2024-07-06 19:52:01","Used car from a dealer","No","$4,999 or less","Paid all cash/ No loan","10 - 20 mpg","once a month","Gasoline","Prefer not to say","Yes","2024-07-06 19:52:58","About once a week","Less than once a month or never","Once a day or more","Less than once a month or never","Less than once a month or never","2024-07-06 19:53:40","6-9 years into the future","Pick-up truck","Used","Purchase","$4,999 or less","$4,000 - $5,000","Probably not","2024-07-06 19:55:02"
"MxX6W0NKOhDp5UQT2lGXzyps2P-JIW0J5V1deHwiPteSjfw2ipcQiFLDSh8j-5M_","2024-07-06 22:40:23","2024-07-06 22:43:30","2024-07-06 22:43:30","","2024-07-06 22:40:23","Used car informally","No","$15,000 - $19,999","Paid all cash/ No loan","60 mpg and above","once in 2 weeks","Gasoline, Hybrid","Street Parking, Driveway/ Carport","I'm not sure","2024-07-06 22:41:28","Once a day or more","About once a week","About once a month","Less than once a month or never","Less than once a month or never","2024-07-06 22:42:11","6-9 years into the future","Small Sedan, Large Sedan, Compact SUV, Pick-up truck","Used","Purchase","$15,000 - $19,999","$9,000 - $10,000","Probably Yes","2024-07-06 22:43:30"
"Lp1idcwugsrXY0tGREdotsiTiCApI_f6enaMTE-sLvuAUlNnh8j2MdlN3NlTCNQp","2024-07-07 06:57:20","2024-07-07 06:59:25","2024-07-07 06:59:25","","2024-07-07 06:57:20","Used car informally","No","$20,000 - $24,999","Paid all cash/ No loan","10 - 20 mpg","twice a week","Gasoline, Other:","Driveway/ Carport, Single-family garage","No","2024-07-07 06:58:16","Once a day or more","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-07 06:58:43","1-2 years into the future","Large SUV, Pick-up truck","Used","Purchase","$25,000 - $29,999, $30,000 - $34,999","$20,000 or more","Definitely not","2024-07-07 06:59:25"
"4OYvw98DTxydgPQjMXR82URubvoy08zQlunpIyI8UjpR73ProvgYEmSyJF5gWvhe","2024-07-07 07:39:40","2024-07-07 07:43:09","2024-07-07 07:43:10","","2024-07-07 07:39:40","Used car informally","No","$5,000 - $9999","Paid all cash/ No loan","30 - 40 mpg","once a week","Gasoline","Street Parking","Yes","2024-07-07 07:40:51","2-3 times a week","About once a week","About once a month","Less than once a month or never","Less than once a month or never","2024-07-07 07:41:56","1-2 years into the future","Compact SUV","Both","Purchase","$20,000 - $24,999","$20,000 or more","Maybe/ Not sure","2024-07-07 07:43:10"
"aBnh-xlMaBtbKPkuFju8j1gI9Jw_CN8u5xpAwquYEBUkISZG-SCLMxHFZcDpNUco","2024-07-07 08:27:18","2024-07-07 08:29:19","2024-07-07 08:29:20","","2024-07-07 08:27:18","New","No","$25,000 - $29,999","$400 - $500","20 - 30 mpg","once in 2 weeks","Gasoline","Shared parking lot","Yes","2024-07-07 08:28:12","4-5 times a week","About once a week","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-07 08:28:50","1-2 years into the future","Pick-up truck","Both","Purchase","$30,000 - $34,999","$5,000 - $6,000","Probably not","2024-07-07 08:29:20"
"LzpQVkWhGQXlQsfbQ2bcRSynsAokxwXW9SOJsy8K8HN3-_d3FfVfVPkE-1xN3CLn","2024-07-07 12:19:33","2024-07-07 12:21:19","2024-07-07 12:21:20","","2024-07-07 12:19:33","Used car from a dealer","No","$20,000 - $24,999","$300 - $400","20 - 30 mpg","once a week","Gasoline","Single-family garage","I'm not sure","2024-07-07 12:20:10","Once a day or more","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-07 12:20:34","I'm not sure","Large Sedan, Compact SUV","Both","Purchase","$10,000 - $14,999, $15,000 - $19,999, $20,000 - $24,999, $25,000 - $29,999","$9,000 - $10,000","Maybe/ Not sure","2024-07-07 12:21:19"
"gHsJp0MCWAjvqd2BsE9tBCSLh2KlrmEvyFUeKvpUkGi4KMhhziP-qdSCs8YVYZCl","2024-07-07 14:26:48","2024-07-07 14:29:00","2024-07-07 14:29:00","","2024-07-07 14:26:48","Used car from a dealer","No","$20,000 - $24,999","$300 - $400","20 - 30 mpg","once a week","Gasoline","Single-family garage","I'm not sure","2024-07-07 14:27:34","Once a day or more","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-07 14:28:13","3-5 years into the future","Do not know","Used","Purchase","$20,000 - $24,999","$1,000 - $2,000","Definitely not","2024-07-07 14:29:00"
"NactheMRgGqbYdwD5APaMGaoSAptspn21k1fkuO2ZmzFqv6hbindJ0qMbVAbfPuz","2024-07-08 06:54:54","2024-07-08 06:57:11","2024-07-08 06:57:12","","2024-07-08 06:54:55","Used car from a dealer","No","$15,000 - $19,999","Paid all cash/ No loan","20 - 30 mpg","once a month","Gasoline","Single-family garage","I'm not sure","2024-07-08 06:55:40","Once a day or more","Less than once a month or never","Once a day or more","About once a month","About once a month","2024-07-08 06:56:23","3-5 years into the future","Small Sedan, Large Sedan, Sports Car, Compact SUV","Used","Purchase","$30,000 - $34,999","I'm not sure","Maybe/ Not sure","2024-07-08 06:57:11"
"wguE5ix4luL4z8hKPcOMxAuZ38um-euknlXVYMV_G0GAJjQ8onPYoQPg-M-22-hk","2024-07-08 06:58:03","2024-07-08 07:00:57","2024-07-08 07:00:57","","2024-07-08 06:58:04","Used car from a dealer","No","$10,000 - $14,999","$500 - $600","20 - 30 mpg","twice a week","Gasoline","Driveway/ Carport","No","2024-07-08 06:59:06","Once a day or more","About once a month","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-08 06:59:58","1-2 years into the future","Large Sedan, Compact SUV, Van","Used","Purchase","$5,000 - $9999","$0 - $1,000","Maybe/ Not sure","2024-07-08 07:00:57"
"1nE2i8gAVTyKzyarh3BjO8P-QlfvZSqTl8Na68X4LDxx4GeIwqTpE8JV9TqFXnx_","2024-07-09 02:33:36","2024-07-09 02:35:44","2024-07-09 02:35:45","","2024-07-09 02:33:37","New","No","$35,000 - $39,999","Paid all cash/ No loan","10 - 20 mpg","once a week","Gasoline","Single-family garage","No","2024-07-09 02:34:26","Once a day or more","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-09 02:34:58","1-2 years into the future","Large SUV","New","Purchase","$60,000 - $69,999","$0 - $1,000","Definitely not","2024-07-09 02:35:44"
"ZhN3o-NiODXxfMZp5hNN3dSA6aHJhSauRX-aqLGrVSZk1sJwTyIISkTIVTKY0FTF","2024-07-09 07:22:11","2024-07-09 07:24:35","2024-07-09 07:24:35","","2024-07-09 07:22:11","New","No","$50,000 - $59,999","$700 - $800","20 - 30 mpg","once in 2 weeks","Gasoline","Street Parking","Yes","2024-07-09 07:22:54","2-3 times a week","Less than once a month or never","Once a day or more","2-3 times a week","2-3 times a week","2024-07-09 07:23:42","6-9 years into the future","Large Sedan, Sports Car, Large SUV, Pick-up truck","Both","Purchase","$50,000 - $59,999","$5,000 - $6,000","Maybe/ Not sure","2024-07-09 07:24:35"
"-N2iL-tKYasUr1deJuXZbpbsyqnHH-rtjidadQMfyqXOgd49aqbIBD6c9hRwuGWf","2024-07-09 11:09:34","2024-07-09 11:12:02","2024-07-09 11:12:03","","2024-07-09 11:09:34","New","No","$40,000 - $44,999","$400 - $500","40 - 50 mpg","once in 2 weeks","Hybrid","Driveway/ Carport","No","2024-07-09 11:10:25","Less than once a month or never","Less than once a month or never","4-5 times a week","Less than once a month or never","Less than once a month or never","2024-07-09 11:11:08","6-9 years into the future","Small Sedan","New","Purchase","$40,000 - $44,999","$9,000 - $10,000","Definitely Yes","2024-07-09 11:12:02"
"GzXMg4shVmz2phJGKFcuLDvDfmzL97BSoQJefc0onDtKk-FbF6EHlDPm1AC9OJA9","2024-07-10 03:16:53","2024-07-10 03:19:59","2024-07-10 03:19:59","","2024-07-10 03:16:53","Used car from a dealer","No","$40,000 - $44,999","$700 - $800","30 - 40 mpg","once a week","Gasoline, Hybrid","Single-family garage","Yes","2024-07-10 03:18:14","Once a day or more","Less than once a month or never","About once a week","Less than once a month or never","Less than once a month or never","2024-07-10 03:19:07","3-5 years into the future","Do not know","Both","Purchase","$45,000 - $49,999","$5,000 - $6,000","Probably Yes","2024-07-10 03:19:59"
"TW0DOP8BHNzfB8nmbmCCR609v4ZmqbHgaXex4ARlMALbhEktyjAggd0adY6gui8c","2024-07-10 04:09:09","2024-07-10 04:12:35","2024-07-10 04:12:35","","2024-07-10 04:09:09","Used car from a dealer","No","$10,000 - $14,999","Paid all cash/ No loan","20 - 30 mpg","once a week","Gasoline, Hybrid","Driveway/ Carport","No","2024-07-10 04:09:48","Once a day or more","About once a week","About once a month","Less than once a month or never","Less than once a month or never","2024-07-10 04:10:58","3-5 years into the future","Small Sedan, Large Sedan, Compact SUV, Large SUV, Van","Both","I'm not sure","$10,000 - $14,999, $15,000 - $19,999, $20,000 - $24,999","$10,000 - $11,000","Definitely Yes","2024-07-10 04:12:35"
"oTUysCHmFAaEpISc9tk1ajuuUcYpB1fFD0eZcdJaNjA4RjKRwZ-DR9O2ujXTKopC","2024-07-10 08:01:55","2024-07-10 08:04:14","2024-07-10 08:04:14","","2024-07-10 08:01:55","Used car from a dealer","No","$4,999 or less","$200 - $300","10 - 20 mpg","once in 2 weeks","Gasoline","Street Parking","No","2024-07-10 08:02:34","Once a day or more","Less than once a month or never","Less than once a month or never","Less than once a month or never","Less than once a month or never","2024-07-10 08:03:37","6-9 years into the future","Large Sedan, Compact SUV, Large SUV","Used","Purchase","I'm not sure","I'm not sure","Maybe/ Not sure","2024-07-10 08:04:14"
"OvqNoO-YM1FniErwbUaTQCQlnbiX3TZq3UERew2rlZStRraooQjLO-k_xKn5Ohiu","2024-07-10 17:55:02","2024-07-10 17:56:42","2024-07-10 17:56:42","","2024-07-10 17:55:02","New","No","$35,000 - $39,999","Paid all cash/ No loan","20 - 30 mpg","once in 2 weeks","Gasoline","Single-family garage","I'm not sure","2024-07-10 17:55:35","About once a month","Less than once a month or never","Less than once a month or never","About once a month","Less than once a month or never","2024-07-10 17:56:03","1-2 years into the future","Large SUV","New","Purchase","$45,000 - $49,999","$20,000 or more","Definitely not","2024-07-10 17:56:42"
