"session","created","modified","ended","expired","time12","run_on_gas","plugged_in","electric_vehicle_Y_N","name_electric_vehicle","max_subsidy"
"plainPolarBearXXXxhFwpnrvx-gdi-EyonFpt_JDDZ-Yny8rJ3b_LqGfOvdQkxO","2024-03-28 20:19:36","2024-03-28 20:19:40","2024-03-28 20:19:40","","2024-03-28 20:19:36","1, 2, 3, 4","1, 2, 3, 4","Yes","thank the formr monkey","1"
"AGA4ueWCU6MKGB5EeWt8uKL6JVHHs5R5qwvJEt2ewR0psXIWyl4mU87PQylsfdHg","2024-03-28 20:21:41","2024-03-28 20:21:55","2024-03-28 20:21:55","","2024-03-28 20:21:41","1, 3","2, 3","Yes","Tesla","3"
"AUMRM9rF-8sdmf2iQQ26xAqgern6Kbs5CMOkegAjbuLxed0UNMVu_JKkD3KQEBcr","2024-03-28 20:32:12","2024-03-28 20:32:48","2024-03-28 20:32:48","","2024-03-28 20:32:12","2, 3","1, 4","Yes","Tesla","2"
"6MYLHEpiiY0OWpZfwNa2Y_4bmUixayJiJCyI66EoGpyu9mmFOQ3BbOlqLFmYA2Vt","2024-03-28 21:11:37","","","","2024-03-28 21:11:37","","","","",""
"YuBjyLdXntKDmxFXt4CSTyBOrTqLCuNY0h-zFPPm1xKGi0399jALu2okcgG230nQ","2024-04-04 17:08:50","2024-04-04 17:09:33","2024-04-04 17:09:33","","2024-04-04 17:08:50","1, 2","2, 3","Yes","All Teslas","4"
"zmrJJKKpeJRanoiTY7tk2NSDSHrPbyFtG8qzdtmI-r8q4lhaf02M0s5nBGHHLbRB","2024-04-09 20:50:50","2024-04-09 20:52:58","2024-04-09 20:52:59","","2024-04-09 20:50:50","1, 2","2, 3","Yes","Tesla Model 30","3"
"curiousForestElephantXXXaS5JGaS91kv2xIVLhH2BCgWbFAVy8lGL7qybc3A6","2024-04-09 21:07:47","2024-04-09 21:07:52","2024-04-09 21:07:52","","2024-04-09 21:07:47","1, 2, 3, 4","1, 2, 3, 4","Yes","thank the formr monkey","1"
"HlOOvScpgnFzPoLHcyXlSrBRt5684woaNxlv_VahsuPPjooxiwCkncTz1kh_RqFT","2024-04-16 17:44:28","2024-04-16 17:44:40","2024-04-16 17:44:40","","2024-04-16 17:44:29","3","2","Yes","Tesla","3"
"32oJ6ejWxAhwHxp-mOnNz66LM5LcC9Ld_j0GpToBiqUIIAH5lCEjnhJs7IaOyMIy","2024-04-17 05:45:14","2024-04-17 05:45:54","2024-04-17 05:45:54","","2024-04-17 05:45:14","1, 2, 3","1, 2, 3","Yes","Tesla","5"
"m_eP4ioo_x_7ZdxBYO5MLr7Vh9tfSlnTfD9x0dYh9AU2LYYWCoqyxaCdBJ9ihpBi","2024-04-18 16:59:10","2024-04-18 17:00:09","2024-04-18 17:00:09","","2024-04-18 16:59:10","1, 2","2, 3","Yes","Tesla","6"
"_0iShV4zceiE7kdPRrx0FAxYUa5YS4J7gEAnUL9zzMn50cOeqrIjS4bX0mqvv6ye","2024-04-19 17:43:29","2024-04-19 17:44:54","2024-04-19 17:44:54","","2024-04-19 17:43:30","1, 2","2, 3","Yes","Does the 1908 Baker Electric count or do I need to list a plastic shitbox from today like tesla?","6"
"IoAWtFELPRHzG6SzSp0XfpFUESZ5zRCXxS-zeg62qGNUvx7DJIGLfnBSLQ6AiM2_","2024-04-20 06:13:25","2024-04-20 06:14:24","2024-04-20 06:14:24","","2024-04-20 06:13:25","1","1, 2, 3","Yes","Tesla","6"
"s6rYjr2Y0JX0FbjSKhyfwYZEeUQkUveAxttyjKYRTeQ6hMumOwERStfVIdh0qWge","2024-04-20 21:15:38","2024-04-20 21:16:25","2024-04-20 21:16:25","","2024-04-20 21:15:38","1, 2","2, 3","Yes","Tesla","4"
"E1jG_qyLdjWaZ21XN0oLxj0OoHbetM1qYS3VI7lR-VuNy5KeZYCbZEgBtRhGCOyo","2024-04-20 22:30:47","2024-04-20 22:32:16","2024-04-20 22:32:16","","2024-04-20 22:30:47","1, 2","2","Yes","Bolt","4"
"qdVqEvZZ_CvpeSdvjGhVhM8YRLGNE80X52dmcyerD3LslsgPLz48hAZ4LyDAQGOK","2024-04-21 08:17:34","2024-04-21 08:18:37","2024-04-21 08:18:37","","2024-04-21 08:17:35","1, 2","2, 3","Yes","Tesla","6"
"p08ouklZcOrKXULbgp8NfAvJ7uStshArasFibsRdwzFmUEtmAlRJAs8ofwhryAZ6","2024-04-21 11:34:44","2024-04-21 11:35:34","2024-04-21 11:35:34","","2024-04-21 11:34:44","1, 2","2, 3","Yes","Rivian","4"
"kA5ULlvegVyQbePE5gNTMXoMU__ByIitQ_-sYcQD7akPU0On-6zB7Bq9Y5qhQM3Z","2024-04-21 13:43:59","2024-04-21 13:44:35","2024-04-21 13:44:35","","2024-04-21 13:43:59","1, 2","1, 2, 3","Yes","Tesla","3"
"05Yld6Lo7dWoNg5BBpOj0T9AH8KsvCtofvNDTJlxdFKXi21O9p5MYn4DHya-th1Y","2024-04-21 15:04:37","2024-04-21 15:05:14","2024-04-21 15:05:14","","2024-04-21 15:04:37","4","3","No","","6"
"Db6OIhcUzx_obOrgAQgYFtQLYowclFP7UcL-b7o8Zh2O1454ocLFu0LZ_GZkgk0f","2024-04-21 16:08:11","2024-04-21 16:09:31","2024-04-21 16:09:31","","2024-04-21 16:08:11","1, 2","2, 3","Yes","Volt","4"
"q6XSMXOPA-or23HwGY7q7Y8w3J69BgzTcA_gJGRQi_8A75CrFJNeGylcl33hPpzp","2024-04-21 16:30:39","2024-04-21 16:32:41","2024-04-21 16:32:41","","2024-04-21 16:30:39","1, 2","1, 2, 3","Yes","Tesla, Rivan, X3, X5","2"
"4KgrbF4n6TcLqoyl_K_mR5jyWy5BKHGSiSw-ka3cGdv31CGspszJIaL76teFbZcA","2024-04-21 17:57:02","2024-04-21 17:58:08","2024-04-21 17:58:08","","2024-04-21 17:57:02","1","2","Yes","Tesla","6"
"fIaPrmR1mMaYtiWbbrcYkIIpTidkZz8neQyOOub9OaZvS4Zx38nC1y6wQWbGPA54","2024-04-21 23:18:00","2024-04-21 23:20:26","2024-04-21 23:20:26","","2024-04-21 23:18:00","1","2, 3","Yes","Lightening","6"
"vAk4Rujgf1sMS4X26Hq4iu9a84VBXiQoIf9QwpSh5EFEgH3OonyQ196Wtqi8VO0i","2024-04-21 23:58:46","2024-04-21 23:59:48","2024-04-21 23:59:48","","2024-04-21 23:58:46","1, 2","2, 3","Yes","Tesla","6"
"QrFWrtbg3OgAzyiwtwQ02czWw8164oFBmmAQLpJui1jslKuhY6tD_IZBzFNz3hd8","2024-04-22 02:15:46","2024-04-22 02:16:51","2024-04-22 02:16:52","","2024-04-22 02:15:46","1, 2","2, 3","Yes","Tesla","6"
