"session","created","modified","ended","expired","time13","yearOfBirth","gender","hispanic","ethnicity","people","employment_status","income","education","housing","own_rent","electric_bill","political_views","party","time14","feedback","time15","completionCode"
"XBhsmywPQtqmqNKP59F7iajGPb3kvCO9ome6AlF8l8Q531K3iTe5brn4gqfw8olf","2024-05-13 01:07:38","2024-05-13 01:09:47","2024-05-13 01:09:47","","2024-05-13 01:07:39","1957","Male","No","White","2","Retired.","$75,000 to less than $100,000","College graduate/bachelor's degree/B.A./B.S.","Building with 5-19 apartments/condos/studios","1","$100 - $200","2","republican","2024-05-13 01:09:27","None","2024-05-13 01:09:39","645338"
"qOjGXsodBPyY2mx5IgZXeqYH1xDn395CN4ZgIovJ6Wvbx4NVkS4KonHOrZUIkrL0","2024-05-13 01:45:07","2024-05-13 01:46:37","2024-05-13 01:46:37","","2024-05-13 01:45:07","1973","Male","No","White","4","Employed, working 40 or more hours per week.","$200,000 to less than $250,000","Master's degree","Single family house not attached to any other house","1","$300 - $400","2","independent","2024-05-13 01:46:29","","2024-05-13 01:46:32","418695"
"K-_kRAFX6TM3BnbdzQ3dv1jYjWC_8zQMHumUad50Gqah7FMdD4q7qhGXJ2eab87U","2024-05-13 04:41:34","2024-05-13 04:45:41","2024-05-13 04:45:41","","2024-05-13 04:41:35","1963","Male","No","American Indian or Alaskan Native, White","2","Not employed, looking for work.","Prefer not to answer","College graduate/bachelor's degree/B.A./B.S.","Single family house not attached to any other house","1","$400 - $500","7","independent","2024-05-13 04:42:59","EVs simply don't work out here in rural flyover country. Electric utility services are unstable and everything is 100 miles away. Toss in a trailer and any EV is done.","2024-05-13 04:45:31","443894"
"Cfx2wnPcVuMqcn2mWV1ql94tFy6cXTf5sTpP-3PriBb_hj0fvXQfc_kgCQ2mYtrS","2024-05-13 06:53:06","2024-05-13 06:54:35","2024-05-13 06:54:35","","2024-05-13 06:53:06","1954","Male","No","White","4","Retired.","$75,000 to less than $100,000","Some college - two years or more/A.A. degree","Single family house not attached to any other house","1","$100 - $200","4","democratic","2024-05-13 06:54:14","","2024-05-13 06:54:19","408306"
"ds9DvhC_J9R4789iCh-rnrN09KGtGppdWacf_fSOCKhS6WTg2pzEX9YtEtoy2XuY","2024-05-13 12:19:15","2024-05-13 12:20:27","2024-05-13 12:20:27","","2024-05-13 12:19:15","1960","Male","Yes","White","4","Retired.","$250,000 or more","College graduate/bachelor's degree/B.A./B.S.","Single family house not attached to any other house","1","$300 - $400","4","democratic","2024-05-13 12:20:20","","2024-05-13 12:20:23","977402"
"cVpXleWbzUu9taUSpUF_blZ-xmp0CKtHIsb7o_nb74_Uhfvgm_dyDqC2jw1QXs2c","2024-05-13 13:23:27","2024-05-13 13:24:49","2024-05-13 13:24:49","","2024-05-13 13:23:27","1955","Male","No","White","2","Retired.","$150,000 to less than $175,000","College graduate/bachelor's degree/B.A./B.S.","Single family house not attached to any other house","1","$0 - $100","2","republican","2024-05-13 13:24:40","","2024-05-13 13:24:44","645218"
"rgE4ZMFloo7utK7FE3tAua1oRguRgi0aiRfMCXtuTaQeZ3Pzfn7cF5IgYLaM-Up5","2024-05-13 13:26:26","2024-05-13 13:28:56","2024-05-13 13:28:56","","2024-05-13 13:26:27","1943","Male","No","White","1","Retired.","Prefer not to answer","Some college - two years or more/A.A. degree","Single family house not attached to any other house","1","$0 - $100","3","democratic","2024-05-13 13:28:29","","2024-05-13 13:28:39","799097"
"cYzuKW5Xr6YXYRvDWArfOruN2vj5v5sehQYUkzLpG3Tb9MdWY9PHhS6m9ynvmDHC","2024-05-13 14:49:32","2024-05-13 14:51:09","2024-05-13 14:51:09","","2024-05-13 14:49:32","1952","Female","No","White","2","Employed, working 1-39 hours per week.","$100,000 to less than $125,000","Master's degree","Single family house not attached to any other house","1","$200 - $300","4","independent","2024-05-13 14:50:56","","2024-05-13 14:51:01","451072"
"126iWxq7LO3rA1kVFGtMOl8N_d98lzdfwZ4fmJMebRqAx9ZZGT7y9wvW9BRejMF3","2024-05-13 15:51:58","2024-05-13 15:59:53","2024-05-13 15:59:53","","2024-05-13 15:51:58","1945","Male","No","White","2","Retired.","$150,000 to less than $175,000","College graduate/bachelor's degree/B.A./B.S.","Single family house not attached to any other house","1","$200 - $300","2","republican","2024-05-13 15:54:15","We will probably never purchase another vehicle considering the present pricing and how little we drive in retirement. My personal opinion is this credit situation on vehicles may turn into a disaster for the industry and the borrowers. Finance a vehicle for 7 years with $1000/month payments. It doesn't compute.","2024-05-13 15:59:44","487759"
"eKIBNgIrFBGmh5op3mFB3jBL9Rqoev7VUD_P1YQD-lBC1DTjlw3YPnkScKHB7uSo","2024-05-13 16:51:19","2024-05-13 17:00:01","2024-05-13 17:00:01","","2024-05-13 16:51:19","1955","Female","No","White","2","Retired.","$60,000 to less than $75,000","Some college - two years or more/A.A. degree","Single family house not attached to any other house","1","$100 - $200","1","republican","2024-05-13 16:52:42","You don't need all those choices for gender.  There are ONLY TWO, male and female.  Anyone who believes those other categories are real belongs in a padded cell.  Gas powered cars are more reliable and less of an fire hazard than electric cars.   Electric cars don't have the necessary range  and take too long to charge. I can gas up and be back on the road in 10 minutes (OK 15 if I use the restroom) whereas an electric car takes hours to charge.  ","2024-05-13 16:59:55","359157"
"bBEjJl8AGV2o-xlbX88y05AnmCbZNJdZyU7P2N56hYEIDilh2qIVOvGonurwxn9a","2024-05-14 01:43:16","2024-05-14 01:45:12","2024-05-14 01:45:12","","2024-05-14 01:43:16","1946","Male","No","American Indian or Alaskan Native, White","1","Retired.","$40,000 to less than $50,000","Master's degree","Single family house not attached to any other house","1","$100 - $200","5","democratic","2024-05-14 01:45:00","","2024-05-14 01:45:05","750114"
