"session","created","modified","ended","expired","time12","run_on_gas","plugged_in","electric_vehicle_Y_N","name_electric_vehicle","max_subsidy"
"plainPolarBearXXXxhFwpnrvx-gdi-EyonFpt_JDDZ-Yny8rJ3b_LqGfOvdQkxO","2024-03-28 20:19:36","2024-03-28 20:19:40","2024-03-28 20:19:40","","2024-03-28 20:19:36","1, 2, 3, 4","1, 2, 3, 4","Yes","thank the formr monkey","1"
"AGA4ueWCU6MKGB5EeWt8uKL6JVHHs5R5qwvJEt2ewR0psXIWyl4mU87PQylsfdHg","2024-03-28 20:21:41","2024-03-28 20:21:55","2024-03-28 20:21:55","","2024-03-28 20:21:41","1, 3","2, 3","Yes","Tesla","3"
"AUMRM9rF-8sdmf2iQQ26xAqgern6Kbs5CMOkegAjbuLxed0UNMVu_JKkD3KQEBcr","2024-03-28 20:32:12","2024-03-28 20:32:48","2024-03-28 20:32:48","","2024-03-28 20:32:12","2, 3","1, 4","Yes","Tesla","2"
"6MYLHEpiiY0OWpZfwNa2Y_4bmUixayJiJCyI66EoGpyu9mmFOQ3BbOlqLFmYA2Vt","2024-03-28 21:11:37","","","","2024-03-28 21:11:37","","","","",""
"YuBjyLdXntKDmxFXt4CSTyBOrTqLCuNY0h-zFPPm1xKGi0399jALu2okcgG230nQ","2024-04-04 17:08:50","2024-04-04 17:09:33","2024-04-04 17:09:33","","2024-04-04 17:08:50","1, 2","2, 3","Yes","All Teslas","4"
"zmrJJKKpeJRanoiTY7tk2NSDSHrPbyFtG8qzdtmI-r8q4lhaf02M0s5nBGHHLbRB","2024-04-09 20:50:50","2024-04-09 20:52:58","2024-04-09 20:52:59","","2024-04-09 20:50:50","1, 2","2, 3","Yes","Tesla Model 30","3"
"curiousForestElephantXXXaS5JGaS91kv2xIVLhH2BCgWbFAVy8lGL7qybc3A6","2024-04-09 21:07:47","2024-04-09 21:07:52","2024-04-09 21:07:52","","2024-04-09 21:07:47","1, 2, 3, 4","1, 2, 3, 4","Yes","thank the formr monkey","1"
"HlOOvScpgnFzPoLHcyXlSrBRt5684woaNxlv_VahsuPPjooxiwCkncTz1kh_RqFT","2024-04-16 17:44:28","2024-04-16 17:44:40","2024-04-16 17:44:40","","2024-04-16 17:44:29","3","2","Yes","Tesla","3"
"32oJ6ejWxAhwHxp-mOnNz66LM5LcC9Ld_j0GpToBiqUIIAH5lCEjnhJs7IaOyMIy","2024-04-17 05:45:14","2024-04-17 05:45:54","2024-04-17 05:45:54","","2024-04-17 05:45:14","1, 2, 3","1, 2, 3","Yes","Tesla","5"
"m_eP4ioo_x_7ZdxBYO5MLr7Vh9tfSlnTfD9x0dYh9AU2LYYWCoqyxaCdBJ9ihpBi","2024-04-18 16:59:10","2024-04-18 17:00:09","2024-04-18 17:00:09","","2024-04-18 16:59:10","1, 2","2, 3","Yes","Tesla","6"
"_0iShV4zceiE7kdPRrx0FAxYUa5YS4J7gEAnUL9zzMn50cOeqrIjS4bX0mqvv6ye","2024-04-19 17:43:29","2024-04-19 17:44:54","2024-04-19 17:44:54","","2024-04-19 17:43:30","1, 2","2, 3","Yes","Does the 1908 Baker Electric count or do I need to list a plastic shitbox from today like tesla?","6"
