created_p1,ip_address,time_sec_p1,mc_car_make_1,zip_code,created_p2,time_sec_p2,weeklyTravel,parking,respondentID,created_p3,time_sec_p3,maxdiff1_best,maxdiff1_worst,maxdiff2_best,maxdiff2_worst,maxdiff3_best,maxdiff3_worst,maxdiff4_best,maxdiff4_worst,maxdiff5_best,maxdiff5_worst,maxdiff6_best,maxdiff6_worst,created_p4,time_sec_p4,name_electric_vehicle,max_subsidy,created_p5,time_sec_p5,gender,yearOfBirth,age,income,feedback,total_time_min
2024-07-03T09:38:31Z,166.196.107.74,139,cadillac,24301,2024-07-03T04:40:51Z,233,twice a week,"Driveway/ Carport, Single-family garage",1762,2024-07-03T04:45:48Z,211,5,1,3,1,1,2,4,1,2,1,4,2,2024-07-03T04:44:44Z,64,George Marshall,5,2024-07-03T04:49:20Z,132,Male,1972,52,"$15,000 to less than $30,000",No,12.983333333333333
2024-07-03T12:00:26Z,73.140.149.107,71,other,98023,2024-07-03T07:01:38Z,169,once a month,Driveway/ Carport,4264,2024-07-03T07:05:10Z,146,1,4,1,2,5,1,1,3,4,5,3,1,2024-07-03T07:04:27Z,43,Chevy Bolt,6,2024-07-03T07:07:36Z,161,Male,1953,71,"$100,000 to less than $125,000",Need to ask pros and cons of gas and electric vehicles.,9.833333333333334
2024-07-03T16:26:27Z,199.184.122.5,33,hyundai,61704,2024-07-03T11:27:00Z,135,once a week,Single-family garage,2165,2024-07-03T11:29:48Z,124.00000000000001,4,3,2,5,2,5,1,5,4,3,2,5,2024-07-03T11:29:15Z,33,Tesla,4,2024-07-03T11:31:52Z,61,Male,1967,57,"$75,000 to less than $100,000",NA,6.433333333333334
2024-07-03T17:44:02Z,76.209.102.38,66,dodge,30141,2024-07-03T12:45:09Z,181,once in 2 weeks,"Driveway/ Carport, Single-family garage",3790,2024-07-03T12:49:02Z,143,2,3,1,5,3,2,4,5,4,3,4,3,2024-07-03T12:48:10Z,52,Tesla Model 3,4,2024-07-03T12:51:25Z,87,Male,1957,67,"$75,000 to less than $100,000",NA,8.816666666666666
2024-07-03T18:16:33Z,166.194.200.10,55,ford,71822,2024-07-03T13:17:28Z,141,once a week,Driveway/ Carport,4575,2024-07-03T13:20:35Z,178,5,4,4,5,5,4,3,5,1,2,5,3,2024-07-03T13:19:49Z,46,Tesla,6,2024-07-03T13:23:33Z,109,Male,1971,53,Prefer not to answer,NA,8.816666666666666
2024-07-03T21:43:15Z,73.167.138.212,62,honda,05735,2024-07-03T16:44:17Z,172,once a month,Single-family garage,3102,2024-07-03T16:49:03Z,204,5,3,3,4,2,3,5,2,5,3,3,4,2024-07-03T16:47:10Z,113,Garbage car,4,2024-07-03T16:52:27Z,240,Male,1953,71,"$50,000 to less than $60,000",I will NEVER consider buying an electric car! Too many horror stories. Relative bought Mustang electric. I month traded it for a real CAR,13.183333333333334
2024-07-04T00:12:24Z,73.120.127.166,45,chrysler,37641,2024-07-03T19:13:09Z,132,once a month,Driveway/ Carport,715,2024-07-03T19:16:00Z,109,5,4,3,4,2,5,2,1,4,5,5,3,2024-07-03T19:15:21Z,39,tesla,6,2024-07-03T19:17:49Z,96,Male,1968,56,"$15,000 to less than $30,000",I like cheese,7.016666666666667
2024-07-04T00:31:20Z,99.56.212.229,60,ram,49505,2024-07-03T19:32:20Z,135,once a month,Shared parking lot,2907,2024-07-03T19:35:12Z,136,3,2,2,4,1,5,2,4,1,5,1,2,2024-07-03T19:34:35Z,37,NA,6,2024-07-03T19:37:28Z,99,Male,1967,57,"Less than $15,000",Libertarian Party,7.783333333333333
2024-07-04T00:45:55Z,172.59.222.97,58,chevrolet,75248,2024-07-03T19:46:53Z,190,once in 2 weeks,Shared parking lot,2195,2024-07-03T19:50:56Z,168,5,4,3,2,5,1,1,3,5,1,4,5,2024-07-03T19:50:04Z,51,Chevrolet Bolt,4,2024-07-03T19:53:44Z,132,Male,2000,24,"$75,000 to less than $100,000","The phrasing on ""name a pure electric vehicle"" was a little vague to me. Almost wrote ""BEV"" as the designation I've heard the vehicle category called in the past.",9.983333333333333
2024-07-04T01:10:41Z,174.209.98.17,77,ford,31038,2024-07-03T20:11:58Z,165,once a month,Driveway/ Carport,592,2024-07-03T20:15:24Z,156,3,4,4,3,4,5,5,1,2,1,4,1,2024-07-03T20:14:43Z,41,Tesla,6,2024-07-03T20:18:00Z,94,Male,1969,55,"$150,000 to less than $175,000",NA,8.883333333333333
2024-07-04T01:17:24Z,199.48.0.15,46,buick,71603,2024-07-03T20:18:10Z,106,once a week,Driveway/ Carport,4157,2024-07-03T20:20:29Z,91,1,4,4,5,3,4,5,2,1,4,3,1,2024-07-03T20:19:56Z,33,Tesla,6,2024-07-03T20:22:01Z,55,Male,1975,49,"$75,000 to less than $100,000",NA,5.516666666666667
2024-07-04T02:15:04Z,172.226.176.47,43,volvo,78681,2024-07-03T21:15:47Z,161,once in 2 weeks,Driveway/ Carport,3310,2024-07-03T21:19:11Z,135,3,1,2,3,2,3,3,2,3,1,2,5,2024-07-03T21:18:28Z,43,Tesla,4,2024-07-03T21:21:26Z,79,Male,1982,42,"$150,000 to less than $175,000",NA,7.683333333333334
2024-07-04T02:50:38Z,99.16.245.107,68,hyundai,60073,2024-07-03T21:51:46Z,142,once a month,Driveway/ Carport,1851,2024-07-03T21:54:49Z,126,3,4,3,4,3,2,3,4,3,1,3,5,2024-07-03T21:54:08Z,41,Tesla,6,2024-07-03T21:56:55Z,85,Male,1960,64,Prefer not to answer,NA,7.7
2024-07-04T07:22:59Z,73.127.143.226,126,bmw,87501,2024-07-04T02:25:07Z,202,once in 2 weeks,"Driveway/ Carport, Single-family garage",1833,2024-07-04T02:29:34Z,253,3,5,4,1,1,5,1,3,1,2,1,4,2024-07-04T02:28:29Z,65,Tesla,2,2024-07-04T02:33:48Z,169,Male,1971,53,"$150,000 to less than $175,000",NA,13.583333333333334
2024-07-04T08:35:04Z,166.196.86.65,107,chevrolet,45015,2024-07-04T03:36:52Z,207,once a week,"Street Parking, Driveway/ Carport",2801,2024-07-04T03:41:20Z,663,5,1,5,1,5,1,5,1,2,4,1,4,2024-07-04T03:40:19Z,61,Tesla,6,2024-07-04T03:52:23Z,350,Male,1973,51,"$75,000 to less than $100,000","Vehicles are too complicated 
Since we're unsafe at any SPEED why worry about all the electronic gizmos that goast brake and lead to a false sence of Safety. 
There's nothing free fair or safe. 
",23.133333333333333
2024-07-04T09:12:22Z,77.234.44.180,52,subaru,16371,2024-07-04T04:13:14Z,137,once a week,"Street Parking, Driveway/ Carport",674,2024-07-04T04:16:23Z,125.00000000000001,5,1,4,2,1,5,2,1,4,5,2,1,2024-07-04T04:15:31Z,52,Rivian,6,2024-07-04T04:18:28Z,116,Male,1991,33,"$60,000 to less than $75,000",The government shouldn't have killed off the dude that invented an engine that operated on WATER,8.033333333333333
2024-07-04T09:34:14Z,71.88.161.151,61,nissan,38201,2024-07-04T04:35:16Z,185,once a week,"Driveway/ Carport, Single-family garage",2832,2024-07-04T04:39:14Z,210,5,2,2,5,3,1,5,4,4,1,4,1,2024-07-04T04:38:21Z,52,Tesla,4,2024-07-04T04:42:45Z,84,Male,1962,62,"$75,000 to less than $100,000",NA,9.866666666666667
2024-07-04T18:51:43Z,208.107.25.223,63,volvo,55025,2024-07-04T13:52:46Z,115,once a week,"Driveway/ Carport, Single-family garage",1525,2024-07-04T13:55:14Z,160,2,3,5,3,2,1,1,5,5,3,3,1,2024-07-04T13:54:41Z,33,VW atlas,4,2024-07-04T13:57:54Z,73,Female,2003,21,"$60,000 to less than $75,000",NA,7.4
2024-07-04T20:54:56Z,47.42.236.125,55,jeep,37922,2024-07-04T15:55:51Z,185,once a week,Single-family garage,526,2024-07-04T16:00:06Z,171,4,2,3,4,1,4,5,2,5,3,2,3,2024-07-04T15:58:56Z,70,Porsche,4,2024-07-04T16:02:57Z,255,Male,1957,67,"$100,000 to less than $125,000",Public transportation is expensive and uncomfortable.  EVs are poor replacements for ICEs due to range and charging limitations.  EV makers would be way ahead to focus on range management rather than acceleration.   And I own a sports car.,12.266666666666667
2024-07-04T21:27:05Z,107.201.186.126,48,hyundai,46060,2024-07-04T16:27:53Z,106,once a week,Single-family garage,4674,2024-07-04T16:30:15Z,115,5,4,5,1,3,4,1,2,1,5,1,3,2024-07-04T16:29:39Z,36,Tesla,6,2024-07-04T16:32:10Z,60,Male,1962,62,"$150,000 to less than $175,000",NA,6.083333333333333
2024-07-04T23:26:25Z,24.4.157.70,134,audi,94533,2024-07-04T18:28:39Z,175,once a week,Driveway/ Carport,873,2024-07-04T18:32:31Z,326,4,1,4,1,2,1,5,3,2,3,2,5,2024-07-04T18:31:34Z,57,Tesla,6,2024-07-04T18:37:57Z,147,Female,1965,59,"$175,000 to less than $200,000",NA,13.983333333333333
2024-07-04T23:47:11Z,66.36.121.15,67,dodge,81223,2024-07-04T18:48:19Z,147,once in 2 weeks,Single-family garage,1938,2024-07-04T18:51:34Z,159,5,4,2,1,2,5,5,3,5,4,1,3,2024-07-04T18:50:47Z,47,Rivian,4,2024-07-04T18:54:13Z,94,Male,1959,65,"$125,000 to less than $150,000",NA,8.566666666666666
2024-07-05T01:01:28Z,38.40.10.151,94,chevrolet,30248,2024-07-04T20:03:02Z,6980,once a week,"Driveway/ Carport, Single-family garage",3498,2024-07-04T22:00:51Z,285,2,3,2,1,5,1,1,2,3,2,1,4,2024-07-04T21:59:22Z,89,"Tesla, Rivian",6,2024-07-04T22:05:36Z,133,Male,1962,62,"$175,000 to less than $200,000",NA,126.35
2024-07-05T03:03:01Z,172.59.97.130,47,toyota,53021,2024-07-04T22:03:48Z,131,once in 2 weeks,Single-family garage,1771,2024-07-04T22:06:34Z,151,1,5,1,2,4,5,3,4,2,1,1,5,2024-07-04T22:05:59Z,35,NA,6,2024-07-04T22:09:05Z,79,Male,1966,58,"$75,000 to less than $100,000",NA,7.383333333333334
2024-07-05T04:37:56Z,47.155.85.24,49,toyota,92683,2024-07-04T23:38:45Z,119,once in 2 weeks,Driveway/ Carport,3885,2024-07-04T23:41:18Z,196,2,5,5,1,4,3,2,1,2,3,1,4,2024-07-04T23:40:44Z,34,Rivian,6,2024-07-04T23:44:34Z,164,Male,1960,64,"$250,000 or more",Try to identify limiting factors on buying decisions i.e. What is the rnge of an electric vehicle? How long does it take to charge? Does the car have a specialty use in mind when purchased.,9.366666666666667
2024-07-05T04:46:41Z,129.222.3.119,46,ford,27960,2024-07-04T23:47:28Z,212,once a month,Other:,4534,2024-07-04T23:52:17Z,343,4,1,5,4,1,2,3,5,3,5,5,4,2024-07-04T23:51:00Z,77,"Tesla, Rivian,",6,2024-07-04T23:58:00Z,124,Male,1961,63,"$150,000 to less than $175,000",NA,13.366666666666667
2024-07-05T06:03:16Z,35.145.186.141,97,hyundai,33625,2024-07-05T01:04:54Z,257,once a week,"Driveway/ Carport, Single-family garage",3683,2024-07-05T01:10:15Z,165,2,1,3,2,1,2,2,4,3,1,2,1,2024-07-05T01:09:11Z,64,tesla,6,2024-07-05T01:13:00Z,93,Male,1964,60,"$150,000 to less than $175,000",NA,11.266666666666667
2024-07-05T07:17:05Z,68.102.26.121,124,nissan,66502,2024-07-05T02:19:10Z,182,once in 2 weeks,Driveway/ Carport,2804,2024-07-05T02:23:14Z,196,2,5,3,5,5,2,1,5,4,3,5,1,2024-07-05T02:22:13Z,61,Telsa,6,2024-07-05T02:26:31Z,113,Male,1964,60,"$75,000 to less than $100,000",NA,11.266666666666667
2024-07-05T08:08:05Z,172.59.89.81,114,jeep,38641,2024-07-05T03:09:59Z,178,twice a week,"Driveway/ Carport, Single-family garage",1966,2024-07-05T03:14:16Z,179,3,1,2,5,1,2,4,3,1,5,4,5,2024-07-05T03:12:57Z,79,Rivian R1S,4,2024-07-05T03:17:16Z,260,Male,1985,39,"$200,000 to less than $250,000",While a BEV would support my normal driving habits very well it is too expensive to buy one just for commuting.,13.5
2024-07-05T09:37:05Z,72.176.58.255,93,toyota,76504,2024-07-05T04:38:39Z,191,once in 2 weeks,Driveway/ Carport,1667,2024-07-05T04:43:07Z,201,3,2,2,1,4,5,3,2,4,2,3,4,2024-07-05T04:41:50Z,76,Tesla,6,2024-07-05T04:46:29Z,108,Male,1962,62,"$50,000 to less than $60,000",NA,11.15
2024-07-05T10:59:49Z,50.25.138.113,105,nissan,27858,2024-07-05T06:01:35Z,164,once in 2 weeks,Shared parking lot,1155,2024-07-05T06:05:12Z,405,2,5,2,5,2,5,2,4,4,2,3,5,2024-07-05T06:04:19Z,53,Rivian,4,2024-07-05T06:11:57Z,87,Male,1967,57,"$15,000 to less than $30,000",NA,13.566666666666666
2024-07-05T16:26:03Z,8.3.127.69,72,hyundai,96950,2024-07-05T11:27:15Z,175,once in 2 weeks,Single-family garage,472,2024-07-05T11:31:17Z,179,2,1,3,4,4,3,4,5,1,4,1,4,2024-07-05T11:30:10Z,67,Nissan Ariya,6,2024-07-05T11:34:17Z,136,Male,1975,49,"$50,000 to less than $60,000",NA,10.483333333333333
2024-07-05T20:53:02Z,73.251.129.115,59,jeep,23224,2024-07-05T15:54:02Z,177,once in 2 weeks,Shared parking garage,4719,2024-07-05T15:57:38Z,249.00000000000003,2,5,3,4,4,5,2,4,2,3,2,1,2024-07-05T15:56:59Z,39,Tesla,6,2024-07-05T16:01:47Z,81,Male,1988,36,"$30,000 to less than $40,000",NA,10.083333333333334
2024-07-06T05:15:13Z,67.61.246.71,28,honda,63501,2024-07-06T00:15:42Z,71,once in 2 weeks,"Driveway/ Carport, Single-family garage",3721,2024-07-06T00:17:13Z,97,1,3,5,1,1,2,2,3,5,4,3,2,2024-07-06T00:16:53Z,20,Tesla,2,2024-07-06T00:18:50Z,60,Male,1972,52,"$200,000 to less than $250,000",NA,4.6
2024-07-06T06:48:00Z,66.148.59.123,67,mercury,72921,2024-07-06T01:49:08Z,144,once a week,Street Parking,2220,2024-07-06T01:52:07Z,143,1,5,3,2,1,4,5,3,4,1,3,1,2024-07-06T01:51:32Z,35,Tesla,6,2024-07-06T01:54:30Z,143,Male,1963,61,Prefer not to answer,NA,8.866666666666667
2024-07-06T07:34:07Z,166.199.149.18,71,chevrolet,28086,2024-07-06T02:35:18Z,321,once a week,Driveway/ Carport,627,2024-07-06T02:41:27Z,190,1,4,1,2,3,2,1,2,5,2,1,5,2024-07-06T02:40:39Z,47,Tesla,6,2024-07-06T02:44:37Z,198,Male,1959,65,"$75,000 to less than $100,000",NA,13.783333333333333
2024-07-06T08:06:32Z,104.183.250.75,73,subaru,76087,2024-07-06T03:07:45Z,416,twice a week,Single-family garage,4870,2024-07-06T03:15:41Z,196,2,5,4,2,5,3,4,2,3,4,3,4,2024-07-06T03:14:41Z,60,Tesla,4,2024-07-06T03:18:57Z,78,Female,1967,57,"$100,000 to less than $125,000",NA,13.716666666666667
2024-07-06T08:52:08Z,98.17.172.157,66,kia,30453,2024-07-06T03:53:14Z,114,once in 2 weeks,Single-family garage,4297,2024-07-06T03:55:48Z,112,4,3,2,4,5,3,4,1,3,5,4,3,2024-07-06T03:55:08Z,40,Tesla model 3,4,2024-07-06T03:57:41Z,69,Female,1963,61,"$15,000 to less than $30,000",NA,6.683333333333334
2024-07-06T12:45:37Z,98.97.18.205,67,toyota,06605,2024-07-06T07:46:45Z,157,once a week,Shared parking garage,2920,2024-07-06T07:50:24Z,243,4,3,3,1,2,5,5,2,5,2,1,5,2024-07-06T07:49:22Z,62,Hyundai Ioniq 5,4,2024-07-06T07:54:27Z,116,Male,1991,33,"$75,000 to less than $100,000",NA,10.75
2024-07-06T16:20:27Z,166.199.140.42,64,ford,24531,2024-07-06T11:21:32Z,163,once in 2 weeks,"Driveway/ Carport, Single-family garage, Shared parking lot",3514,2024-07-06T11:24:49Z,121,1,2,5,4,2,4,3,4,1,2,3,1,2024-07-06T11:24:16Z,33,Tesla,6,2024-07-06T11:26:50Z,77,Male,1989,35,"$100,000 to less than $125,000",NA,7.633333333333334
2024-07-06T20:01:33Z,174.192.196.76,58,honda,21160,2024-07-06T15:02:31Z,134,once a week,Single-family garage,1302,2024-07-06T15:05:19Z,142,5,3,3,1,3,2,5,2,1,2,1,3,2024-07-06T15:04:45Z,34,NA,6,2024-07-06T15:07:41Z,86,Male,1969,55,"$200,000 to less than $250,000",NA,7.566666666666666
2024-07-06T21:31:26Z,172.58.0.190,44,chevrolet,30071,2024-07-06T16:32:11Z,146,once in 2 weeks,Single-family garage,3412,2024-07-06T16:35:10Z,156,3,5,1,4,4,3,1,4,1,4,3,1,2024-07-06T16:34:37Z,33,NA,6,2024-07-06T16:37:46Z,296,Male,1964,60,"$100,000 to less than $125,000",NA,11.25
2024-07-07T01:37:17Z,65.122.87.90,143,ford,48197,2024-07-06T20:39:41Z,362,once in 2 weeks,"Driveway/ Carport, Single-family garage",1889,2024-07-06T20:46:40Z,414,3,2,5,1,1,5,4,5,5,1,4,5,2024-07-06T20:45:43Z,57,Ev,4,2024-07-06T20:53:34Z,692,Male,1974,50,"$250,000 or more",NA,27.8
2024-07-07T02:50:33Z,172.59.76.179,66,chevrolet,72416,2024-07-06T21:51:39Z,183,once a week,Driveway/ Carport,4178,2024-07-06T21:55:40Z,175,2,3,5,4,3,4,4,1,3,1,4,5,2024-07-06T21:54:43Z,57,Tesla,6,2024-07-06T21:58:35Z,142,Male,1960,64,"$40,000 to less than $50,000",NA,10.383333333333333
2024-07-07T12:49:03Z,166.196.110.2,64,chevrolet,55720,2024-07-07T07:50:08Z,144,once a week,"Street Parking, Driveway/ Carport",4988,2024-07-07T07:53:09Z,121,1,4,3,1,3,2,2,1,3,5,4,3,2024-07-07T07:52:32Z,35,Tesla,6,2024-07-07T07:55:10Z,78,Male,1975,49,Prefer not to answer,NA,7.366666666666666
2024-07-09T11:39:30Z,68.11.30.124,99,honda,70043,2024-07-09T06:41:13Z,124.00000000000001,once a week,Driveway/ Carport,3887,2024-07-09T06:46:19Z,229,1,2,2,4,3,2,2,1,3,1,3,2,2024-07-09T06:43:17Z,182,Nissan Leaf,6,2024-07-09T06:50:09Z,530,Female,1988,36,"$30,000 to less than $40,000","Crash test safety ratings are more important to me than make/model for any car.

I think electric/hybrid cars are unpopular in my region for 3 big reasons: liberal association, patchy charging infrastructure, and concerns about hurricanes (prolonged power outages, trying to evacuate, etc).",19.4
2024-07-10T08:44:35Z,172.58.231.203,74,dodge,10453,2024-07-10T03:45:50Z,155,once a week,Driveway/ Carport,4461,2024-07-10T03:49:19Z,149,3,1,4,5,2,5,1,3,1,2,2,4,2024-07-10T03:48:26Z,53,Tesla lucid,6,2024-07-10T03:51:49Z,115,Male,1981,43,"$175,000 to less than $200,000",NA,9.1
2024-07-10T09:11:23Z,174.214.51.138,54,jeep,26181,2024-07-10T04:12:18Z,186,once a week,Driveway/ Carport,973,2024-07-10T04:16:22Z,166,5,4,1,3,1,4,1,4,1,4,1,4,2024-07-10T04:15:24Z,58,Keep wagoneer s,4,2024-07-10T04:19:08Z,99,Male,1966,58,"$200,000 to less than $250,000",NA,9.383333333333333
2024-07-10T09:17:05Z,67.234.22.213,117,honda,24236,2024-07-10T04:19:02Z,272,once a month,Driveway/ Carport,4997,2024-07-10T04:25:08Z,231,4,2,4,1,4,5,3,1,1,4,4,1,2024-07-10T04:23:34Z,94,Tesla,6,2024-07-10T04:28:59Z,147,Male,1932,92,"$60,000 to less than $75,000",NA,14.35
2024-07-11T01:30:45Z,170.249.137.134,334,honda,36527,2024-07-10T20:36:20Z,118,once a week,Driveway/ Carport,4919,2024-07-10T20:39:00Z,116,1,3,4,5,1,4,1,2,2,5,3,4,2024-07-10T20:38:19Z,41,Tesla,6,2024-07-10T20:40:56Z,75,Female,1988,36,"$100,000 to less than $125,000",NA,11.4
2024-07-11T04:15:22Z,174.238.54.128,37,toyota,46044,2024-07-10T23:16:00Z,110,once a week,Driveway/ Carport,1098,2024-07-10T23:18:41Z,183,3,1,1,4,1,5,5,2,3,1,3,1,2024-07-10T23:17:50Z,51,Ford Maverick,6,2024-07-10T23:21:44Z,87,Male,1983,41,"$50,000 to less than $60,000",Domestic vehicles suck,7.8
2024-07-11T05:30:03Z,172.58.0.242,53,lincoln,30342,2024-07-11T00:30:55Z,200,once a week,Shared parking lot,2365,2024-07-11T00:34:50Z,479,4,3,5,3,1,4,5,4,1,5,4,1,2024-07-11T00:34:14Z,37,Mustang Mach-E,6,2024-07-11T00:42:48Z,191,Male,1981,43,"$75,000 to less than $100,000",Current housing of MFH condo will NOT make a pure EV feasible. 40+ year old property that there is no realistic way to setup chargers at home location.,16
2024-07-11T13:47:36Z,50.115.251.199,80,honda,72450,2024-07-11T08:48:56Z,150,once in 2 weeks,"Driveway/ Carport, Prefer not to say",871,2024-07-11T08:52:17Z,218,1,4,3,1,2,4,3,1,1,2,3,5,2024-07-11T08:51:26Z,51,Tesla,5,2024-07-11T08:55:56Z,94,Male,1960,64,"$15,000 to less than $30,000",NA,9.883333333333333
2024-07-11T18:31:41Z,50.4.196.98,62,gmc,48043,2024-07-11T13:32:44Z,183,once a week,"Driveway/ Carport, Single-family garage",4841,2024-07-11T13:37:02Z,152,4,2,2,1,3,1,5,3,2,1,2,3,2024-07-11T13:35:47Z,75,Hummer,6,2024-07-11T13:39:34Z,92,Female,1967,57,"$200,000 to less than $250,000",NA,9.4
2024-07-12T00:28:04Z,70.165.50.90,55,toyota,90631,2024-07-11T19:29:00Z,176,once in 2 weeks,Driveway/ Carport,3684,2024-07-11T19:33:20Z,213,3,5,1,3,2,3,1,2,1,5,4,3,2024-07-11T19:31:56Z,83,Tesla,6,2024-07-11T19:36:54Z,84,Male,1974,50,"$125,000 to less than $150,000",NA,10.183333333333334
2024-07-12T01:45:38Z,184.83.92.163,41,mazda,57110,2024-07-11T20:46:19Z,91,three times a week,"Street Parking, Driveway/ Carport, Single-family garage",4917,2024-07-11T20:48:08Z,175,2,5,3,5,2,5,2,3,2,3,4,3,2024-07-11T20:47:50Z,18,Tesla,4,2024-07-11T20:51:03Z,224,Male,1973,51,"$50,000 to less than $60,000","You should change the “Name an electric car?” question. My computer keeps wanting to change MY name to Tesla in my settings when I answer that question for you. Now I have to change my settings, not pleasant.",9.15
2024-07-12T03:46:03Z,104.189.142.214,126,ford,32583,2024-07-11T22:48:09Z,195,once a month,"Driveway/ Carport, Single-family garage",2993,2024-07-11T22:52:19Z,152,4,2,1,4,3,5,1,4,1,5,3,5,2024-07-11T22:51:24Z,55,Tesla,6,2024-07-11T22:54:51Z,140,Male,1964,60,"$75,000 to less than $100,000",NA,11.133333333333333
2024-07-03T02:29:49Z,100.19.39.162,23,audi,19103,2024-07-02T21:30:13Z,59,once a month,Shared parking lot,3828,2024-07-02T21:31:38Z,37,4,2,2,3,2,1,3,2,3,2,3,2,2024-07-02T21:31:12Z,26,test-Zain,6,2024-07-02T21:32:15Z,43,Male,1987,37,"$60,000 to less than $75,000",Test - Zain,3.1333333333333333
2024-07-03T07:18:07Z,47.36.78.194,77,chevrolet,89423,2024-07-03T02:19:25Z,215,once in 2 weeks,Shared parking garage,4253,2024-07-03T02:23:52Z,185,2,4,3,2,5,4,2,5,4,1,1,5,2024-07-03T02:23:00Z,52,NA,6,2024-07-03T02:26:57Z,122,Male,1948,76,"$75,000 to less than $100,000",NA,10.85
2024-07-03T08:53:48Z,162.217.52.141,121,dodge,23692,2024-07-03T03:55:49Z,367,once a week,Driveway/ Carport,3573,2024-07-03T04:04:22Z,392,4,1,1,3,2,5,2,5,1,5,4,1,2024-07-03T04:01:56Z,146,Tesla,6,2024-07-03T04:10:54Z,178,Male,1945,79,"$125,000 to less than $150,000",NA,20.066666666666666
