respID,qID,altID,attID,attribute
7,1,4,13,Purchase price
7,1,5,4,Vehicle history report available
7,2,1,16,Interior/exterior condition
7,2,2,17,Cargo space
7,2,3,3,Number of previous owners
7,2,4,15,Vehicle age
7,2,5,5,Where was the vehicle previously used?
7,3,1,12,Mileage on the vehicle
7,3,2,8,Return window
7,3,3,2,Brand/Make
7,3,4,1,Certified Pre-Owned (CPO) vehicle
7,3,5,9,Pre-approved loan for the vehicle
7,4,1,10,Pre-purchase independent inspection
7,4,2,6,Vehicle fuel efficiency
7,4,3,8,Return window
7,4,4,14,Vehicle seating capacity
7,4,5,5,Where was the vehicle previously used?
7,5,1,6,Vehicle fuel efficiency
7,5,2,13,Purchase price
7,5,3,4,Vehicle history report available
7,5,4,2,Brand/Make
7,5,5,3,Number of previous owners
7,6,1,16,Interior/exterior condition
7,6,2,12,Mileage on the vehicle
7,6,3,10,Pre-purchase independent inspection
7,6,4,11,Test-driving the vehicle
7,6,5,15,Vehicle age
8,1,1,6,Vehicle fuel efficiency
8,1,2,14,Vehicle seating capacity
8,1,3,17,Cargo space
8,1,4,16,Interior/exterior condition
8,1,5,2,Brand/Make
8,2,1,15,Vehicle age
8,2,2,3,Number of previous owners
8,2,3,11,Test-driving the vehicle
8,2,4,5,Where was the vehicle previously used?
8,2,5,13,Purchase price
8,3,1,4,Vehicle history report available
8,3,2,7,Vehicle warranty
8,3,3,9,Pre-approved loan for the vehicle
8,3,4,12,Mileage on the vehicle
8,3,5,10,Pre-purchase independent inspection
8,4,1,8,Return window
8,4,2,1,Certified Pre-Owned (CPO) vehicle
8,4,3,6,Vehicle fuel efficiency
8,4,4,13,Purchase price
8,4,5,10,Pre-purchase independent inspection
8,5,1,5,Where was the vehicle previously used?
8,5,2,7,Vehicle warranty
8,5,3,12,Mileage on the vehicle
8,5,4,11,Test-driving the vehicle
8,5,5,3,Number of previous owners
8,6,1,2,Brand/Make
8,6,2,8,Return window
8,6,3,15,Vehicle age
8,6,4,1,Certified Pre-Owned (CPO) vehicle
8,6,5,4,Vehicle history report available
9,1,1,1,Certified Pre-Owned (CPO) vehicle
9,1,2,6,Vehicle fuel efficiency
9,1,3,8,Return window
9,1,4,11,Test-driving the vehicle
9,1,5,5,Where was the vehicle previously used?
9,2,1,10,Pre-purchase independent inspection
9,2,2,3,Number of previous owners
9,2,3,4,Vehicle history report available
9,2,4,15,Vehicle age
9,2,5,9,Pre-approved loan for the vehicle
9,3,1,7,Vehicle warranty
9,3,2,17,Cargo space
9,3,3,12,Mileage on the vehicle
9,3,4,16,Interior/exterior condition
9,3,5,13,Purchase price
9,4,1,14,Vehicle seating capacity
9,4,2,2,Brand/Make
9,4,3,15,Vehicle age
9,4,4,17,Cargo space
9,4,5,8,Return window
9,5,1,1,Certified Pre-Owned (CPO) vehicle
9,5,2,4,Vehicle history report available
9,5,3,12,Mileage on the vehicle
9,5,4,9,Pre-approved loan for the vehicle
9,5,5,11,Test-driving the vehicle
9,6,1,14,Vehicle seating capacity
9,6,2,2,Brand/Make
9,6,3,13,Purchase price
9,6,4,3,Number of previous owners
9,6,5,10,Pre-purchase independent inspection
11,1,1,17,Cargo space
11,1,2,4,Vehicle history report available
11,1,3,7,Vehicle warranty
11,1,4,14,Vehicle seating capacity
11,1,5,12,Mileage on the vehicle
11,2,1,5,Where was the vehicle previously used?
11,2,2,11,Test-driving the vehicle
11,2,3,9,Pre-approved loan for the vehicle
11,2,4,15,Vehicle age
11,2,5,6,Vehicle fuel efficiency
11,3,1,1,Certified Pre-Owned (CPO) vehicle
11,3,2,13,Purchase price
11,3,3,16,Interior/exterior condition
11,3,4,10,Pre-purchase independent inspection
11,3,5,8,Return window
11,4,1,2,Brand/Make
11,4,2,3,Number of previous owners
11,4,3,1,Certified Pre-Owned (CPO) vehicle
11,4,4,11,Test-driving the vehicle
11,4,5,4,Vehicle history report available
11,5,1,15,Vehicle age
11,5,2,16,Interior/exterior condition
11,5,3,3,Number of previous owners
11,5,4,10,Pre-purchase independent inspection
11,5,5,7,Vehicle warranty
11,6,1,12,Mileage on the vehicle
11,6,2,17,Cargo space
11,6,3,9,Pre-approved loan for the vehicle
11,6,4,13,Purchase price
11,6,5,8,Return window
12,1,1,6,Vehicle fuel efficiency
12,1,2,14,Vehicle seating capacity
12,1,3,2,Brand/Make
12,1,4,5,Where was the vehicle previously used?
12,1,5,15,Vehicle age
12,2,1,3,Number of previous owners
12,2,2,17,Cargo space
12,2,3,8,Return window
12,2,4,12,Mileage on the vehicle
12,2,5,16,Interior/exterior condition
12,3,1,1,Certified Pre-Owned (CPO) vehicle
12,3,2,4,Vehicle history report available
12,3,3,10,Pre-purchase independent inspection
12,3,4,7,Vehicle warranty
12,3,5,9,Pre-approved loan for the vehicle
12,4,1,11,Test-driving the vehicle
12,4,2,13,Purchase price
12,4,3,8,Return window
12,4,4,17,Cargo space
12,4,5,7,Vehicle warranty
12,5,1,2,Brand/Make
12,5,2,12,Mileage on the vehicle
12,5,3,1,Certified Pre-Owned (CPO) vehicle
12,5,4,10,Pre-purchase independent inspection
12,5,5,15,Vehicle age
12,6,1,3,Number of previous owners
12,6,2,9,Pre-approved loan for the vehicle
12,6,3,11,Test-driving the vehicle
12,6,4,16,Interior/exterior condition
12,6,5,6,Vehicle fuel efficiency
13,1,1,4,Vehicle history report available
13,1,2,12,Mileage on the vehicle
13,1,3,14,Vehicle seating capacity
13,1,4,2,Brand/Make
13,1,5,6,Vehicle fuel efficiency
13,2,1,16,Interior/exterior condition
13,2,2,9,Pre-approved loan for the vehicle
13,2,3,17,Cargo space
13,2,4,8,Return window
13,2,5,15,Vehicle age
13,3,1,3,Number of previous owners
13,3,2,7,Vehicle warranty
13,3,3,5,Where was the vehicle previously used?
13,3,4,1,Certified Pre-Owned (CPO) vehicle
13,3,5,13,Purchase price
13,4,1,10,Pre-purchase independent inspection
13,4,2,11,Test-driving the vehicle
13,4,3,5,Where was the vehicle previously used?
13,4,4,14,Vehicle seating capacity
13,4,5,15,Vehicle age
13,5,1,10,Pre-purchase independent inspection
13,5,2,16,Interior/exterior condition
13,5,3,13,Purchase price
13,5,4,4,Vehicle history report available
13,5,5,7,Vehicle warranty
13,6,1,9,Pre-approved loan for the vehicle
13,6,2,3,Number of previous owners
13,6,3,8,Return window
13,6,4,2,Brand/Make
13,6,5,12,Mileage on the vehicle
14,1,1,10,Pre-purchase independent inspection
14,1,2,11,Test-driving the vehicle
14,1,3,14,Vehicle seating capacity
14,1,4,15,Vehicle age
14,1,5,2,Brand/Make
14,2,1,5,Where was the vehicle previously used?
14,2,2,6,Vehicle fuel efficiency
14,2,3,12,Mileage on the vehicle
14,2,4,4,Vehicle history report available
14,2,5,3,Number of previous owners
14,3,1,13,Purchase price
14,3,2,8,Return window
14,3,3,16,Interior/exterior condition
14,3,4,1,Certified Pre-Owned (CPO) vehicle
14,3,5,9,Pre-approved loan for the vehicle
14,4,1,17,Cargo space
14,4,2,7,Vehicle warranty
14,4,3,12,Mileage on the vehicle
14,4,4,3,Number of previous owners
14,4,5,9,Pre-approved loan for the vehicle
14,5,1,8,Return window
14,5,2,4,Vehicle history report available
14,5,3,13,Purchase price
14,5,4,1,Certified Pre-Owned (CPO) vehicle
14,5,5,7,Vehicle warranty
14,6,1,11,Test-driving the vehicle
14,6,2,10,Pre-purchase independent inspection
14,6,3,15,Vehicle age
14,6,4,16,Interior/exterior condition
14,6,5,2,Brand/Make
16,1,1,10,Pre-purchase independent inspection
16,1,2,1,Certified Pre-Owned (CPO) vehicle
16,1,3,11,Test-driving the vehicle
16,1,4,6,Vehicle fuel efficiency
16,1,5,16,Interior/exterior condition
16,2,1,3,Number of previous owners
16,2,2,7,Vehicle warranty
16,2,3,12,Mileage on the vehicle
16,2,4,15,Vehicle age
16,2,5,9,Pre-approved loan for the vehicle
16,3,1,17,Cargo space
16,3,2,2,Brand/Make
16,3,3,13,Purchase price
16,3,4,5,Where was the vehicle previously used?
16,3,5,8,Return window
16,4,1,4,Vehicle history report available
16,4,2,14,Vehicle seating capacity
16,4,3,16,Interior/exterior condition
16,4,4,5,Where was the vehicle previously used?
16,4,5,1,Certified Pre-Owned (CPO) vehicle
16,5,1,14,Vehicle seating capacity
16,5,2,3,Number of previous owners
16,5,3,7,Vehicle warranty
16,5,4,4,Vehicle history report available
16,5,5,15,Vehicle age
16,6,1,11,Test-driving the vehicle
16,6,2,17,Cargo space
16,6,3,12,Mileage on the vehicle
16,6,4,8,Return window
16,6,5,10,Pre-purchase independent inspection
17,1,1,11,Test-driving the vehicle
17,1,2,7,Vehicle warranty
17,1,3,14,Vehicle seating capacity
17,1,4,12,Mileage on the vehicle
17,1,5,2,Brand/Make
17,2,1,15,Vehicle age
17,2,2,1,Certified Pre-Owned (CPO) vehicle
17,2,3,5,Where was the vehicle previously used?
17,2,4,13,Purchase price
17,2,5,10,Pre-purchase independent inspection
17,3,1,16,Interior/exterior condition
17,3,2,3,Number of previous owners
17,3,3,9,Pre-approved loan for the vehicle
17,3,4,6,Vehicle fuel efficiency
17,3,5,17,Cargo space
17,4,1,8,Return window
17,4,2,4,Vehicle history report available
17,4,3,9,Pre-approved loan for the vehicle
17,4,4,2,Brand/Make
17,4,5,10,Pre-purchase independent inspection
17,5,1,12,Mileage on the vehicle
17,5,2,1,Certified Pre-Owned (CPO) vehicle
17,5,3,16,Interior/exterior condition
17,5,4,5,Where was the vehicle previously used?
17,5,5,4,Vehicle history report available
17,6,1,11,Test-driving the vehicle
17,6,2,14,Vehicle seating capacity
17,6,3,8,Return window
17,6,4,6,Vehicle fuel efficiency
17,6,5,13,Purchase price
18,1,1,13,Purchase price
18,1,2,10,Pre-purchase independent inspection
18,1,3,1,Certified Pre-Owned (CPO) vehicle
18,1,4,2,Brand/Make
18,1,5,15,Vehicle age
18,2,1,5,Where was the vehicle previously used?
18,2,2,6,Vehicle fuel efficiency
18,2,3,14,Vehicle seating capacity
18,2,4,4,Vehicle history report available
18,2,5,16,Interior/exterior condition
18,3,1,12,Mileage on the vehicle
18,3,2,8,Return window
18,3,3,11,Test-driving the vehicle
18,3,4,17,Cargo space
18,3,5,9,Pre-approved loan for the vehicle
18,4,1,3,Number of previous owners
18,4,2,7,Vehicle warranty
18,4,3,17,Cargo space
18,4,4,13,Purchase price
18,4,5,15,Vehicle age
18,5,1,6,Vehicle fuel efficiency
18,5,2,8,Return window
18,5,3,11,Test-driving the vehicle
18,5,4,7,Vehicle warranty
18,5,5,3,Number of previous owners
18,6,1,4,Vehicle history report available
18,6,2,5,Where was the vehicle previously used?
18,6,3,10,Pre-purchase independent inspection
18,6,4,2,Brand/Make
18,6,5,14,Vehicle seating capacity
19,1,1,2,Brand/Make
19,1,2,4,Vehicle history report available
19,1,3,1,Certified Pre-Owned (CPO) vehicle
19,1,4,17,Cargo space
19,1,5,6,Vehicle fuel efficiency
19,2,1,9,Pre-approved loan for the vehicle
19,2,2,3,Number of previous owners
19,2,3,16,Interior/exterior condition
19,2,4,15,Vehicle age
19,2,5,13,Purchase price
19,3,1,12,Mileage on the vehicle
19,3,2,11,Test-driving the vehicle
19,3,3,10,Pre-purchase independent inspection
19,3,4,7,Vehicle warranty
19,3,5,14,Vehicle seating capacity
19,4,1,5,Where was the vehicle previously used?
19,4,2,8,Return window
19,4,3,16,Interior/exterior condition
19,4,4,7,Vehicle warranty
19,4,5,1,Certified Pre-Owned (CPO) vehicle
19,5,1,17,Cargo space
19,5,2,4,Vehicle history report available
19,5,3,6,Vehicle fuel efficiency
19,5,4,5,Where was the vehicle previously used?
19,5,5,11,Test-driving the vehicle
19,6,1,12,Mileage on the vehicle
19,6,2,15,Vehicle age
19,6,3,9,Pre-approved loan for the vehicle
19,6,4,10,Pre-purchase independent inspection
19,6,5,2,Brand/Make
21,1,1,16,Interior/exterior condition
21,1,2,11,Test-driving the vehicle
21,1,3,3,Number of previous owners
21,1,4,9,Pre-approved loan for the vehicle
21,1,5,14,Vehicle seating capacity
21,2,1,7,Vehicle warranty
21,2,2,13,Purchase price
21,2,3,6,Vehicle fuel efficiency
21,2,4,5,Where was the vehicle previously used?
21,2,5,10,Pre-purchase independent inspection
21,3,1,8,Return window
21,3,2,1,Certified Pre-Owned (CPO) vehicle
21,3,3,15,Vehicle age
21,3,4,2,Brand/Make
21,3,5,4,Vehicle history report available
21,4,1,17,Cargo space
21,4,2,12,Mileage on the vehicle
21,4,3,7,Vehicle warranty
21,4,4,13,Purchase price
21,4,5,2,Brand/Make
21,5,1,15,Vehicle age
21,5,2,16,Interior/exterior condition
21,5,3,8,Return window
21,5,4,5,Where was the vehicle previously used?
21,5,5,6,Vehicle fuel efficiency
21,6,1,9,Pre-approved loan for the vehicle
21,6,2,1,Certified Pre-Owned (CPO) vehicle
21,6,3,17,Cargo space
21,6,4,14,Vehicle seating capacity
21,6,5,3,Number of previous owners
22,1,1,3,Number of previous owners
22,1,2,8,Return window
22,1,3,9,Pre-approved loan for the vehicle
22,1,4,10,Pre-purchase independent inspection
22,1,5,7,Vehicle warranty
22,2,1,1,Certified Pre-Owned (CPO) vehicle
22,2,2,15,Vehicle age
22,2,3,2,Brand/Make
22,2,4,17,Cargo space
22,2,5,13,Purchase price
22,3,1,16,Interior/exterior condition
22,3,2,5,Where was the vehicle previously used?
22,3,3,11,Test-driving the vehicle
22,3,4,6,Vehicle fuel efficiency
22,3,5,4,Vehicle history report available
22,4,1,14,Vehicle seating capacity
22,4,2,12,Mileage on the vehicle
22,4,3,8,Return window
22,4,4,16,Interior/exterior condition
22,4,5,15,Vehicle age
22,5,1,5,Where was the vehicle previously used?
22,5,2,6,Vehicle fuel efficiency
22,5,3,3,Number of previous owners
22,5,4,4,Vehicle history report available
22,5,5,17,Cargo space
22,6,1,12,Mileage on the vehicle
22,6,2,9,Pre-approved loan for the vehicle
22,6,3,14,Vehicle seating capacity
22,6,4,13,Purchase price
22,6,5,11,Test-driving the vehicle
23,1,1,13,Purchase price
23,1,2,3,Number of previous owners
23,1,3,17,Cargo space
23,1,4,16,Interior/exterior condition
23,1,5,11,Test-driving the vehicle
23,2,1,6,Vehicle fuel efficiency
23,2,2,14,Vehicle seating capacity
23,2,3,12,Mileage on the vehicle
23,2,4,9,Pre-approved loan for the vehicle
23,2,5,8,Return window
23,3,1,7,Vehicle warranty
23,3,2,4,Vehicle history report available
23,3,3,1,Certified Pre-Owned (CPO) vehicle
23,3,4,10,Pre-purchase independent inspection
23,3,5,5,Where was the vehicle previously used?
23,4,1,15,Vehicle age
23,4,2,2,Brand/Make
23,4,3,8,Return window
23,4,4,4,Vehicle history report available
23,4,5,5,Where was the vehicle previously used?
23,5,1,9,Pre-approved loan for the vehicle
23,5,2,13,Purchase price
23,5,3,16,Interior/exterior condition
23,5,4,14,Vehicle seating capacity
23,5,5,12,Mileage on the vehicle
23,6,1,6,Vehicle fuel efficiency
23,6,2,7,Vehicle warranty
23,6,3,2,Brand/Make
23,6,4,17,Cargo space
23,6,5,10,Pre-purchase independent inspection
24,1,1,7,Vehicle warranty
24,1,2,3,Number of previous owners
24,1,3,12,Mileage on the vehicle
24,1,4,8,Return window
24,1,5,13,Purchase price
24,2,1,1,Certified Pre-Owned (CPO) vehicle
24,2,2,14,Vehicle seating capacity
24,2,3,17,Cargo space
24,2,4,15,Vehicle age
24,2,5,11,Test-driving the vehicle
24,3,1,2,Brand/Make
24,3,2,4,Vehicle history report available
24,3,3,5,Where was the vehicle previously used?
24,3,4,10,Pre-purchase independent inspection
24,3,5,6,Vehicle fuel efficiency
24,4,1,16,Interior/exterior condition
24,4,2,9,Pre-approved loan for the vehicle
24,4,3,17,Cargo space
24,4,4,13,Purchase price
24,4,5,6,Vehicle fuel efficiency
24,5,1,15,Vehicle age
24,5,2,14,Vehicle seating capacity
24,5,3,4,Vehicle history report available
24,5,4,16,Interior/exterior condition
24,5,5,12,Mileage on the vehicle
24,6,1,10,Pre-purchase independent inspection
24,6,2,8,Return window
24,6,3,7,Vehicle warranty
24,6,4,5,Where was the vehicle previously used?
24,6,5,9,Pre-approved loan for the vehicle
25,1,1,4,Vehicle history report available
25,1,2,8,Return window
25,1,3,1,Certified Pre-Owned (CPO) vehicle
25,1,4,5,Where was the vehicle previously used?
25,1,5,12,Mileage on the vehicle
25,2,1,2,Brand/Make
25,2,2,10,Pre-purchase independent inspection
25,2,3,7,Vehicle warranty
25,2,4,17,Cargo space
25,2,5,3,Number of previous owners
25,3,1,6,Vehicle fuel efficiency
25,3,2,11,Test-driving the vehicle
25,3,3,16,Interior/exterior condition
25,3,4,14,Vehicle seating capacity
25,3,5,9,Pre-approved loan for the vehicle
25,4,1,15,Vehicle age
25,4,2,13,Purchase price
25,4,3,10,Pre-purchase independent inspection
25,4,4,11,Test-driving the vehicle
25,4,5,5,Where was the vehicle previously used?
25,5,1,3,Number of previous owners
25,5,2,13,Purchase price
25,5,3,8,Return window
25,5,4,17,Cargo space
25,5,5,7,Vehicle warranty
25,6,1,9,Pre-approved loan for the vehicle
25,6,2,14,Vehicle seating capacity
25,6,3,1,Certified Pre-Owned (CPO) vehicle
25,6,4,12,Mileage on the vehicle
25,6,5,6,Vehicle fuel efficiency
26,1,1,14,Vehicle seating capacity
26,1,2,4,Vehicle history report available
26,1,3,16,Interior/exterior condition
26,1,4,6,Vehicle fuel efficiency
26,1,5,12,Mileage on the vehicle
26,2,1,2,Brand/Make
26,2,2,9,Pre-approved loan for the vehicle
26,2,3,15,Vehicle age
26,2,4,17,Cargo space
26,2,5,11,Test-driving the vehicle
26,3,1,8,Return window
26,3,2,5,Where was the vehicle previously used?
26,3,3,13,Purchase price
26,3,4,7,Vehicle warranty
26,3,5,1,Certified Pre-Owned (CPO) vehicle
26,4,1,3,Number of previous owners
26,4,2,10,Pre-purchase independent inspection
26,4,3,7,Vehicle warranty
26,4,4,1,Certified Pre-Owned (CPO) vehicle
26,4,5,13,Purchase price
26,5,1,12,Mileage on the vehicle
26,5,2,11,Test-driving the vehicle
26,5,3,4,Vehicle history report available
26,5,4,2,Brand/Make
26,5,5,16,Interior/exterior condition
26,6,1,17,Cargo space
26,6,2,5,Where was the vehicle previously used?
26,6,3,3,Number of previous owners
26,6,4,14,Vehicle seating capacity
26,6,5,10,Pre-purchase independent inspection
27,1,1,9,Pre-approved loan for the vehicle
27,1,2,10,Pre-purchase independent inspection
27,1,3,8,Return window
27,1,4,3,Number of previous owners
27,1,5,4,Vehicle history report available
27,2,1,2,Brand/Make
27,2,2,14,Vehicle seating capacity
27,2,3,11,Test-driving the vehicle
27,2,4,16,Interior/exterior condition
27,2,5,13,Purchase price
27,3,1,12,Mileage on the vehicle
27,3,2,1,Certified Pre-Owned (CPO) vehicle
27,3,3,15,Vehicle age
27,3,4,17,Cargo space
27,3,5,7,Vehicle warranty
27,4,1,5,Where was the vehicle previously used?
27,4,2,6,Vehicle fuel efficiency
27,4,3,11,Test-driving the vehicle
27,4,4,13,Purchase price
27,4,5,3,Number of previous owners
27,5,1,4,Vehicle history report available
27,5,2,2,Brand/Make
27,5,3,7,Vehicle warranty
27,5,4,6,Vehicle fuel efficiency
27,5,5,5,Where was the vehicle previously used?
27,6,1,17,Cargo space
27,6,2,8,Return window
27,6,3,10,Pre-purchase independent inspection
27,6,4,12,Mileage on the vehicle
27,6,5,9,Pre-approved loan for the vehicle
28,1,1,13,Purchase price
28,1,2,4,Vehicle history report available
28,1,3,8,Return window
28,1,4,6,Vehicle fuel efficiency
28,1,5,17,Cargo space
28,2,1,1,Certified Pre-Owned (CPO) vehicle
28,2,2,2,Brand/Make
28,2,3,10,Pre-purchase independent inspection
28,2,4,12,Mileage on the vehicle
28,2,5,11,Test-driving the vehicle
28,3,1,15,Vehicle age
28,3,2,9,Pre-approved loan for the vehicle
28,3,3,7,Vehicle warranty
28,3,4,14,Vehicle seating capacity
28,3,5,16,Interior/exterior condition
28,4,1,5,Where was the vehicle previously used?
28,4,2,3,Number of previous owners
28,4,3,16,Interior/exterior condition
28,4,4,10,Pre-purchase independent inspection
28,4,5,12,Mileage on the vehicle
28,5,1,17,Cargo space
28,5,2,13,Purchase price
28,5,3,3,Number of previous owners
28,5,4,14,Vehicle seating capacity
28,5,5,1,Certified Pre-Owned (CPO) vehicle
28,6,1,15,Vehicle age
28,6,2,6,Vehicle fuel efficiency
28,6,3,4,Vehicle history report available
28,6,4,8,Return window
28,6,5,11,Test-driving the vehicle
34,1,1,15,Vehicle age
34,1,2,9,Pre-approved loan for the vehicle
34,1,3,3,Number of previous owners
34,1,4,13,Purchase price
34,1,5,16,Interior/exterior condition
34,2,1,4,Vehicle history report available
34,2,2,8,Return window
34,2,3,10,Pre-purchase independent inspection
34,2,4,5,Where was the vehicle previously used?
34,2,5,7,Vehicle warranty
34,3,1,6,Vehicle fuel efficiency
34,3,2,1,Certified Pre-Owned (CPO) vehicle
34,3,3,11,Test-driving the vehicle
34,3,4,12,Mileage on the vehicle
34,3,5,2,Brand/Make
34,4,1,17,Cargo space
34,4,2,14,Vehicle seating capacity
34,4,3,9,Pre-approved loan for the vehicle
34,4,4,15,Vehicle age
34,4,5,16,Interior/exterior condition
34,5,1,10,Pre-purchase independent inspection
34,5,2,14,Vehicle seating capacity
34,5,3,3,Number of previous owners
34,5,4,7,Vehicle warranty
34,5,5,6,Vehicle fuel efficiency
34,6,1,12,Mileage on the vehicle
34,6,2,11,Test-driving the vehicle
34,6,3,4,Vehicle history report available
34,6,4,13,Purchase price
34,6,5,2,Brand/Make
35,1,1,11,Test-driving the vehicle
35,1,2,13,Purchase price
35,1,3,16,Interior/exterior condition
35,1,4,4,Vehicle history report available
35,1,5,17,Cargo space
35,2,1,15,Vehicle age
35,2,2,6,Vehicle fuel efficiency
35,2,3,9,Pre-approved loan for the vehicle
35,2,4,14,Vehicle seating capacity
35,2,5,10,Pre-purchase independent inspection
35,3,1,7,Vehicle warranty
35,3,2,3,Number of previous owners
35,3,3,5,Where was the vehicle previously used?
35,3,4,2,Brand/Make
35,3,5,12,Mileage on the vehicle
35,4,1,1,Certified Pre-Owned (CPO) vehicle
35,4,2,8,Return window
35,4,3,6,Vehicle fuel efficiency
35,4,4,14,Vehicle seating capacity
